entry,at,order
-- ending hand #26 --,2022-07-27T01:01:21.765Z,165888368176502
"""Steve W @ 4tQxT1H19m"" collected 15 from pot",2022-07-27T01:01:21.765Z,165888368176501
"Uncalled bet of 15 returned to ""Steve W @ 4tQxT1H19m""",2022-07-27T01:01:21.765Z,165888368176500
"""Sr.Chalupa @ XGWuu4ssF6"" folds",2022-07-27T01:01:20.937Z,165888368093700
"""Steve W @ 4tQxT1H19m"" bets 15",2022-07-27T01:01:19.590Z,165888367959000
"""Sr.Chalupa @ XGWuu4ssF6"" checks",2022-07-27T01:01:15.294Z,165888367529400
"River: 4♦, Q♣, A♣, 3♦ [6♣]",2022-07-27T01:01:13.868Z,165888367386800
"""Steve W @ 4tQxT1H19m"" checks",2022-07-27T01:01:13.012Z,165888367301200
"""Sr.Chalupa @ XGWuu4ssF6"" checks",2022-07-27T01:01:11.403Z,165888367140300
"Turn: 4♦, Q♣, A♣ [3♦]",2022-07-27T01:01:09.467Z,165888366946700
"""JasonD @ BYzDkZYWTC"" folds",2022-07-27T01:01:08.563Z,165888366856300
"""Steve W @ 4tQxT1H19m"" calls 4",2022-07-27T01:01:06.484Z,165888366648400
"""Sr.Chalupa @ XGWuu4ssF6"" bets 4",2022-07-27T01:01:04.961Z,165888366496100
"""JasonD @ BYzDkZYWTC"" checks",2022-07-27T01:00:59.272Z,165888365927200
"Flop:  [4♦, Q♣, A♣]",2022-07-27T01:00:57.661Z,165888365766100
"""JasonD @ BYzDkZYWTC"" checks",2022-07-27T01:00:56.781Z,165888365678100
"""iThrowMoney @ c1XxzKwr1F"" folds",2022-07-27T01:00:55.511Z,165888365551100
"""MG @ OVjjotxOlK"" folds",2022-07-27T01:00:54.505Z,165888365450500
"""Steve W @ 4tQxT1H19m"" calls 2",2022-07-27T01:00:53.626Z,165888365362600
"""Ayo @ QRvrL14Xbw"" folds",2022-07-27T01:00:47.850Z,165888364785000
"""Diggles @ rFk31o2_aE"" folds",2022-07-27T01:00:46.795Z,165888364679500
"""Sta @ _dCiRjNJgH"" folds",2022-07-27T01:00:45.824Z,165888364582400
"""CJW @ g_NfkVX0xY"" folds",2022-07-27T01:00:40.862Z,165888364086200
"""Dan V @ c9rljbVYYw"" folds",2022-07-27T01:00:39.751Z,165888363975100
"""Sr.Chalupa @ XGWuu4ssF6"" calls 2",2022-07-27T01:00:35.091Z,165888363509100
