entry,at,order
"The player ""MG @ b-R5PpbV7M"" passed the room ownership to ""KGB @ PtHvSkTvyl"".",2022-07-30T04:09:45.748Z,165915418574800
"The player ""MG @ b-R5PpbV7M"" quits the game with a stack of 798.",2022-07-30T04:03:06.720Z,165915378672000
"The player ""Ryan T @ m9LcbeuYup"" quits the game with a stack of 790.",2022-07-30T04:01:58.870Z,165915371887000
"The player ""Ryan T @ m9LcbeuYup"" passed the room ownership to ""MG @ b-R5PpbV7M"".",2022-07-30T04:01:43.826Z,165915370382600
"The player ""MG @ b-R5PpbV7M"" sit back with the stack of 798.",2022-07-30T04:00:02.025Z,165915360202500
"The player ""Ryan T @ m9LcbeuYup"" stand up with the stack of 790.",2022-07-30T03:59:47.030Z,165915358703000
"The player ""Steve W @ N3Fya_ZiXc"" quits the game with a stack of 798.",2022-07-30T03:59:37.928Z,165915357792800
"The player ""JBerk @ FRLndaAGK5"" quits the game with a stack of 302.",2022-07-30T03:59:29.362Z,165915356936201
"The player ""Steve W @ N3Fya_ZiXc"" stand up with the stack of 798.",2022-07-30T03:59:29.362Z,165915356936200
"-- ending hand #230 --",2022-07-30T03:59:26.442Z,165915356644202
"""Steve W @ N3Fya_ZiXc"" collected 4 from pot",2022-07-30T03:59:26.442Z,165915356644201
"Uncalled bet of 4 returned to ""Steve W @ N3Fya_ZiXc""",2022-07-30T03:59:26.442Z,165915356644200
"""Ryan T @ m9LcbeuYup"" folds",2022-07-30T03:59:25.584Z,165915356558400
"""Steve W @ N3Fya_ZiXc"" bets 4",2022-07-30T03:59:22.581Z,165915356258100
"""Ryan T @ m9LcbeuYup"" checks",2022-07-30T03:59:19.166Z,165915355916600
"Flop:  [Q♠, 5♠, 8♥]",2022-07-30T03:59:17.040Z,165915355704000
"""Ryan T @ m9LcbeuYup"" checks",2022-07-30T03:59:16.144Z,165915355614400
"""Steve W @ N3Fya_ZiXc"" calls 2",2022-07-30T03:59:12.441Z,165915355244100
"""Ryan T @ m9LcbeuYup"" posts a big blind of 2",2022-07-30T03:59:08.512Z,165915354851206
"""Steve W @ N3Fya_ZiXc"" posts a small blind of 1",2022-07-30T03:59:08.512Z,165915354851205
"Player stacks: #1 ""Ryan T @ m9LcbeuYup"" (792) | #9 ""Steve W @ N3Fya_ZiXc"" (796)",2022-07-30T03:59:08.512Z,165915354851202
