entry,at,order
"The player ""Bretmeister @ CZV62RgDOk"" quits the game with a stack of 0.",2022-07-29T08:13:34.477Z,165908241447700
"-- ending hand #333 --",2022-07-29T08:13:28.441Z,165908240844101
"""Sta @ cHCoYBvV6D"" collected 210 from pot with Two Pair, J's & 6's (combination: J♠, J♣, 6♦, 6♥, Q♥)",2022-07-29T08:13:28.441Z,165908240844100
"River: 6♦, J♣, 3♦, 6♥ [2♠]",2022-07-29T08:13:24.434Z,165908240443400
"Turn: 6♦, J♣, 3♦ [6♥]",2022-07-29T08:13:20.431Z,165908240043100
"""Bretmeister @ CZV62RgDOk"" shows a K♣, Q♣.",2022-07-29T08:13:16.358Z,165908239635801
"""Sta @ cHCoYBvV6D"" shows a J♠, Q♥.",2022-07-29T08:13:16.358Z,165908239635800
"""Sta @ cHCoYBvV6D"" calls 93",2022-07-29T08:13:15.510Z,165908239551000
"""Bretmeister @ CZV62RgDOk"" bets 93 and go all in",2022-07-29T08:13:13.976Z,165908239397600
"Flop:  [6♦, J♣, 3♦]",2022-07-29T08:13:08.425Z,165908238842500
"""Sta @ cHCoYBvV6D"" calls 12",2022-07-29T08:13:07.590Z,165908238759000
"""Bretmeister @ CZV62RgDOk"" raises to 12",2022-07-29T08:13:06.113Z,165908238611300
"""Sta @ cHCoYBvV6D"" raises to 7",2022-07-29T08:13:03.015Z,165908238301500
"""Bretmeister @ CZV62RgDOk"" posts a big blind of 2",2022-07-29T08:13:00.348Z,165908238034805
"""Sta @ cHCoYBvV6D"" posts a small blind of 1",2022-07-29T08:13:00.348Z,165908238034804
"Player stacks: #6 ""Sta @ cHCoYBvV6D"" (535) | #10 ""Bretmeister @ CZV62RgDOk"" (105)",2022-07-29T08:13:00.348Z,165908238034801
"-- starting hand #333  (No Limit Texas Hold'em) (dealer: ""Sta @ cHCoYBvV6D"") --",2022-07-29T08:13:00.348Z,165908238034800
"-- ending hand #332 --",2022-07-29T08:12:54.336Z,165908237433603
"""Sta @ cHCoYBvV6D"" shows a 5♠, 3♠.",2022-07-29T08:12:54.336Z,165908237433602
"""Bretmeister @ CZV62RgDOk"" collected 8 from pot with Pair, 8's (combination: 8♣, 8♦, A♠, 10♣, 7♦)",2022-07-29T08:12:54.336Z,165908237433601
"""Bretmeister @ CZV62RgDOk"" shows a 10♣, 8♣.",2022-07-29T08:12:54.336Z,165908237433600
"""Bretmeister @ CZV62RgDOk"" checks",2022-07-29T08:12:53.528Z,165908237352800
"""Sta @ cHCoYBvV6D"" checks",2022-07-29T08:12:52.043Z,165908237204300
"River: A♠, 7♦, 8♦, 4♥ [3♣]",2022-07-29T08:12:50.204Z,165908237020400
"""Bretmeister @ CZV62RgDOk"" calls 2",2022-07-29T08:12:49.345Z,165908236934500
"""Sta @ cHCoYBvV6D"" bets 2",2022-07-29T08:12:48.237Z,165908236823700
"Turn: A♠, 7♦, 8♦ [4♥]",2022-07-29T08:12:38.624Z,165908235862400
"""Bretmeister @ CZV62RgDOk"" checks",2022-07-29T08:12:37.809Z,165908235780900
"""Sta @ cHCoYBvV6D"" checks",2022-07-29T08:12:36.659Z,165908235665900
"Flop:  [A♠, 7♦, 8♦]",2022-07-29T08:12:32.116Z,165908235211600
"""Sta @ cHCoYBvV6D"" checks",2022-07-29T08:12:31.313Z,165908235131300
"""Bretmeister @ CZV62RgDOk"" calls 2",2022-07-29T08:12:28.361Z,165908234836100
"""Sta @ cHCoYBvV6D"" posts a big blind of 2",2022-07-29T08:12:26.712Z,165908234671205
"""Bretmeister @ CZV62RgDOk"" posts a small blind of 1",2022-07-29T08:12:26.712Z,165908234671204
"Player stacks: #6 ""Sta @ cHCoYBvV6D"" (539) | #10 ""Bretmeister @ CZV62RgDOk"" (101)",2022-07-29T08:12:26.712Z,165908234671201
"-- starting hand #332  (No Limit Texas Hold'em) (dealer: ""Bretmeister @ CZV62RgDOk"") --",2022-07-29T08:12:26.712Z,165908234671200
"-- ending hand #331 --",2022-07-29T08:12:20.777Z,165908234077702
"""Bretmeister @ CZV62RgDOk"" collected 10 from pot",2022-07-29T08:12:20.777Z,165908234077701
"Uncalled bet of 7 returned to ""Bretmeister @ CZV62RgDOk""",2022-07-29T08:12:20.777Z,165908234077700
"""Sta @ cHCoYBvV6D"" folds",2022-07-29T08:12:19.962Z,165908233996200
"""Bretmeister @ CZV62RgDOk"" bets 7",2022-07-29T08:12:18.397Z,165908233839700
"Flop:  [4♠, A♣, 4♦]",2022-07-29T08:12:13.297Z,165908233329700
"""Sta @ cHCoYBvV6D"" calls 5",2022-07-29T08:12:12.478Z,165908233247800
"""Bretmeister @ CZV62RgDOk"" raises to 5",2022-07-29T08:12:10.534Z,165908233053400
"""Sta @ cHCoYBvV6D"" calls 2",2022-07-29T08:12:06.875Z,165908232687500
"""Bretmeister @ CZV62RgDOk"" posts a big blind of 2",2022-07-29T08:12:04.792Z,165908232479205
"""Sta @ cHCoYBvV6D"" posts a small blind of 1",2022-07-29T08:12:04.792Z,165908232479204
"Player stacks: #6 ""Sta @ cHCoYBvV6D"" (544) | #10 ""Bretmeister @ CZV62RgDOk"" (96)",2022-07-29T08:12:04.792Z,165908232479201
"-- starting hand #331  (No Limit Texas Hold'em) (dealer: ""Sta @ cHCoYBvV6D"") --",2022-07-29T08:12:04.792Z,165908232479200
"-- ending hand #330 --",2022-07-29T08:11:58.877Z,165908231887702
"""Sta @ cHCoYBvV6D"" collected 14 from pot",2022-07-29T08:11:58.877Z,165908231887701
"Uncalled bet of 7 returned to ""Sta @ cHCoYBvV6D""",2022-07-29T08:11:58.877Z,165908231887700
"""Bretmeister @ CZV62RgDOk"" folds",2022-07-29T08:11:58.049Z,165908231804900
"""Sta @ cHCoYBvV6D"" bets 7",2022-07-29T08:11:55.284Z,165908231528400
"Flop:  [10♥, J♥, K♣]",2022-07-29T08:11:49.875Z,165908230987500
"""Bretmeister @ CZV62RgDOk"" calls 7",2022-07-29T08:11:49.037Z,165908230903700
"""Sta @ cHCoYBvV6D"" raises to 7",2022-07-29T08:11:47.398Z,165908230739800
"""Bretmeister @ CZV62RgDOk"" calls 2",2022-07-29T08:11:43.792Z,165908230379200
"""Sta @ cHCoYBvV6D"" posts a big blind of 2",2022-07-29T08:11:41.652Z,165908230165205
"""Bretmeister @ CZV62RgDOk"" posts a small blind of 1",2022-07-29T08:11:41.652Z,165908230165204
"Player stacks: #6 ""Sta @ cHCoYBvV6D"" (537) | #10 ""Bretmeister @ CZV62RgDOk"" (103)",2022-07-29T08:11:41.652Z,165908230165201
"-- starting hand #330  (No Limit Texas Hold'em) (dealer: ""Bretmeister @ CZV62RgDOk"") --",2022-07-29T08:11:41.652Z,165908230165200
"-- ending hand #329 --",2022-07-29T08:11:38.745Z,165908229874502
"""Bretmeister @ CZV62RgDOk"" collected 2 from pot",2022-07-29T08:11:38.745Z,165908229874501
"Uncalled bet of 1 returned to ""Bretmeister @ CZV62RgDOk""",2022-07-29T08:11:38.745Z,165908229874500
"""Sta @ cHCoYBvV6D"" folds",2022-07-29T08:11:37.935Z,165908229793500
"""Bretmeister @ CZV62RgDOk"" posts a big blind of 2",2022-07-29T08:11:36.056Z,165908229605605
"""Sta @ cHCoYBvV6D"" posts a small blind of 1",2022-07-29T08:11:36.056Z,165908229605604
"Player stacks: #6 ""Sta @ cHCoYBvV6D"" (538) | #10 ""Bretmeister @ CZV62RgDOk"" (102)",2022-07-29T08:11:36.056Z,165908229605601
"-- starting hand #329  (No Limit Texas Hold'em) (dealer: ""Sta @ cHCoYBvV6D"") --",2022-07-29T08:11:36.056Z,165908229605600
"-- ending hand #328 --",2022-07-29T08:11:33.139Z,165908229313902
"""Sta @ cHCoYBvV6D"" collected 4 from pot",2022-07-29T08:11:33.139Z,165908229313901
"Uncalled bet of 4 returned to ""Sta @ cHCoYBvV6D""",2022-07-29T08:11:33.139Z,165908229313900
"""Bretmeister @ CZV62RgDOk"" folds",2022-07-29T08:11:32.257Z,165908229225700
"""Sta @ cHCoYBvV6D"" raises to 6",2022-07-29T08:11:30.180Z,165908229018000
"""Bretmeister @ CZV62RgDOk"" calls 2",2022-07-29T08:11:27.540Z,165908228754000
"""Sta @ cHCoYBvV6D"" posts a big blind of 2",2022-07-29T08:11:25.840Z,165908228584005
"""Bretmeister @ CZV62RgDOk"" posts a small blind of 1",2022-07-29T08:11:25.840Z,165908228584004
"Player stacks: #6 ""Sta @ cHCoYBvV6D"" (536) | #10 ""Bretmeister @ CZV62RgDOk"" (104)",2022-07-29T08:11:25.840Z,165908228584001
"-- starting hand #328  (No Limit Texas Hold'em) (dealer: ""Bretmeister @ CZV62RgDOk"") --",2022-07-29T08:11:25.840Z,165908228584000
"-- ending hand #327 --",2022-07-29T08:11:19.832Z,165908227983203
"""Bretmeister @ CZV62RgDOk"" shows a 9♦, 4♠.",2022-07-29T08:11:19.832Z,165908227983202
"""Sta @ cHCoYBvV6D"" collected 8 from pot with Two Pair, 10's & 6's (combination: 10♣, 10♠, 6♥, 6♠, K♦)",2022-07-29T08:11:19.832Z,165908227983201
"""Sta @ cHCoYBvV6D"" shows a 10♣, 8♣.",2022-07-29T08:11:19.832Z,165908227983200
"""Sta @ cHCoYBvV6D"" checks",2022-07-29T08:11:18.996Z,165908227899600
"""Bretmeister @ CZV62RgDOk"" checks",2022-07-29T08:11:17.695Z,165908227769500
"River: 10♠, 6♥, 6♠, 4♥ [K♦]",2022-07-29T08:11:16.117Z,165908227611700
"""Sta @ cHCoYBvV6D"" checks",2022-07-29T08:11:15.226Z,165908227522600
"""Bretmeister @ CZV62RgDOk"" checks",2022-07-29T08:11:12.528Z,165908227252800
"Turn: 10♠, 6♥, 6♠ [4♥]",2022-07-29T08:11:10.902Z,165908227090200
