entry,at,order
-- ending hand #217 --,2022-07-26T04:16:04.224Z,165880896422402
"""Asscrack @ -PbnDssQ9T"" collected 2.40 from pot",2022-07-26T04:16:04.224Z,165880896422401
"Uncalled bet of 0.75 returned to ""Asscrack @ -PbnDssQ9T""",2022-07-26T04:16:04.224Z,165880896422400
"""FucklesO'Shit @ rFk31o2_aE"" folds",2022-07-26T04:16:03.401Z,165880896340100
"""Asscrack @ -PbnDssQ9T"" bets 0.75",2022-07-26T04:15:59.387Z,165880895938700
"The admin approved the player ""Nabber @ ObMhMoNahh"" participation with a stack of 189.76.",2022-07-26T04:15:55.584Z,165880895558400
"The player ""Nabber @ ObMhMoNahh"" requested a seat.",2022-07-26T04:15:52.162Z,165880895216200
"""FucklesO'Shit @ rFk31o2_aE"" checks",2022-07-26T04:15:51.562Z,165880895156200
"Flop:  [Q♠, A♥, 4♠]",2022-07-26T04:15:46.013Z,165880894601300
"""FucklesO'Shit @ rFk31o2_aE"" calls 1.20",2022-07-26T04:15:45.136Z,165880894513600
"""Asscrack @ -PbnDssQ9T"" raises to 1.20",2022-07-26T04:15:41.996Z,165880894199600
"""FucklesO'Shit @ rFk31o2_aE"" posts a big blind of 0.40",2022-07-26T04:15:39.011Z,165880893901106
"""Asscrack @ -PbnDssQ9T"" posts a small blind of 0.20",2022-07-26T04:15:39.011Z,165880893901105
"Player stacks: #1 ""Asscrack @ -PbnDssQ9T"" (184.28) | #2 ""FucklesO'Shit @ rFk31o2_aE"" (178.56)",2022-07-26T04:15:39.011Z,165880893901102
"-- starting hand #217  (No Limit Texas Hold'em) (dealer: ""Asscrack @ -PbnDssQ9T"") --",2022-07-26T04:15:39.011Z,165880893901101
"The player ""Daniel @ GRBkv8tCaD"" stand up with the stack of 243.54.",2022-07-26T04:15:39.011Z,165880893901100
"""Asscrack @ -PbnDssQ9T"" shows a 8♦, 7♣.",2022-07-26T04:15:33.123Z,165880893312300
-- ending hand #216 --,2022-07-26T04:15:32.302Z,165880893230202
"""FucklesO'Shit @ rFk31o2_aE"" collected 5.00 from pot",2022-07-26T04:15:32.302Z,165880893230201
"Uncalled bet of 4.20 returned to ""FucklesO'Shit @ rFk31o2_aE""",2022-07-26T04:15:32.302Z,165880893230200
"""Daniel @ GRBkv8tCaD"" folds",2022-07-26T04:15:31.466Z,165880893146600
"""FucklesO'Shit @ rFk31o2_aE"" bets 4.20",2022-07-26T04:15:16.677Z,165880891667700
"Turn: 5♠, 4♠, 6♣ [J♦]",2022-07-26T04:15:04.884Z,165880890488400
"""Daniel @ GRBkv8tCaD"" calls 1.00",2022-07-26T04:15:04.057Z,165880890405700
"""FucklesO'Shit @ rFk31o2_aE"" bets 1.00",2022-07-26T04:14:55.704Z,165880889570400
"Flop:  [5♠, 4♠, 6♣]",2022-07-26T04:14:49.269Z,165880888926900
"""FucklesO'Shit @ rFk31o2_aE"" calls 1.40",2022-07-26T04:14:48.391Z,165880888839100
"""Asscrack @ -PbnDssQ9T"" folds",2022-07-26T04:14:45.834Z,165880888583400
"""Daniel @ GRBkv8tCaD"" raises to 1.40",2022-07-26T04:14:44.340Z,165880888434000
"""FucklesO'Shit @ rFk31o2_aE"" posts a big blind of 0.40",2022-07-26T04:14:39.063Z,165880887906306
"""Asscrack @ -PbnDssQ9T"" posts a small blind of 0.20",2022-07-26T04:14:39.063Z,165880887906305
"Player stacks: #1 ""Asscrack @ -PbnDssQ9T"" (184.48) | #2 ""FucklesO'Shit @ rFk31o2_aE"" (175.96) | #4 ""Daniel @ GRBkv8tCaD"" (245.94)",2022-07-26T04:14:39.063Z,165880887906301
"-- starting hand #216  (No Limit Texas Hold'em) (dealer: ""Daniel @ GRBkv8tCaD"") --",2022-07-26T04:14:39.063Z,165880887906300
-- ending hand #215 --,2022-07-26T04:14:33.064Z,165880887306402
"""FucklesO'Shit @ rFk31o2_aE"" collected 1.00 from pot",2022-07-26T04:14:33.064Z,165880887306401
"Uncalled bet of 0.60 returned to ""FucklesO'Shit @ rFk31o2_aE""",2022-07-26T04:14:33.064Z,165880887306400
"""Asscrack @ -PbnDssQ9T"" folds",2022-07-26T04:14:32.194Z,165880887219400
"""Daniel @ GRBkv8tCaD"" folds",2022-07-26T04:14:31.349Z,165880887134900
"""FucklesO'Shit @ rFk31o2_aE"" raises to 1.00",2022-07-26T04:14:27.511Z,165880886751100
"""Asscrack @ -PbnDssQ9T"" posts a big blind of 0.40",2022-07-26T04:14:22.255Z,165880886225506
"""Daniel @ GRBkv8tCaD"" posts a small blind of 0.20",2022-07-26T04:14:22.255Z,165880886225505
"Player stacks: #1 ""Asscrack @ -PbnDssQ9T"" (184.88) | #2 ""FucklesO'Shit @ rFk31o2_aE"" (175.36) | #4 ""Daniel @ GRBkv8tCaD"" (246.14)",2022-07-26T04:14:22.255Z,165880886225501
"-- starting hand #215  (No Limit Texas Hold'em) (dealer: ""FucklesO'Shit @ rFk31o2_aE"") --",2022-07-26T04:14:22.255Z,165880886225500
"Undealt cards:  [J♣, Q♣, 7♦, K♦, 5♥]",2022-07-26T04:14:17.923Z,165880885792300
-- ending hand #214 --,2022-07-26T04:14:16.332Z,165880885633202
"""Asscrack @ -PbnDssQ9T"" collected 1.00 from pot",2022-07-26T04:14:16.332Z,165880885633201
"Uncalled bet of 0.80 returned to ""Asscrack @ -PbnDssQ9T""",2022-07-26T04:14:16.332Z,165880885633200
"""Daniel @ GRBkv8tCaD"" folds",2022-07-26T04:14:15.491Z,165880885549100
"""FucklesO'Shit @ rFk31o2_aE"" folds",2022-07-26T04:14:10.558Z,165880885055800
"""Asscrack @ -PbnDssQ9T"" raises to 1.20",2022-07-26T04:14:03.186Z,165880884318600
"""Daniel @ GRBkv8tCaD"" posts a big blind of 0.40",2022-07-26T04:14:01.028Z,165880884102806
"""FucklesO'Shit @ rFk31o2_aE"" posts a small blind of 0.20",2022-07-26T04:14:01.028Z,165880884102805
"Player stacks: #1 ""Asscrack @ -PbnDssQ9T"" (184.28) | #2 ""FucklesO'Shit @ rFk31o2_aE"" (175.56) | #4 ""Daniel @ GRBkv8tCaD"" (246.54)",2022-07-26T04:14:01.028Z,165880884102801
"-- starting hand #214  (No Limit Texas Hold'em) (dealer: ""Asscrack @ -PbnDssQ9T"") --",2022-07-26T04:14:01.028Z,165880884102800
-- ending hand #213 --,2022-07-26T04:13:55.015Z,165880883501502
"""Asscrack @ -PbnDssQ9T"" collected 5.20 from pot with Two Pair, 10's & 6's (combination: 10♦, 10♣, 6♥, 6♣, Q♠)",2022-07-26T04:13:55.015Z,165880883501501
"""Asscrack @ -PbnDssQ9T"" shows a 10♦, J♠.",2022-07-26T04:13:55.015Z,165880883501500
"""FucklesO'Shit @ rFk31o2_aE"" calls 1.00",2022-07-26T04:13:54.100Z,165880883410000
"""Asscrack @ -PbnDssQ9T"" bets 1.00",2022-07-26T04:13:44.098Z,165880882409800
"River: 6♥, Q♠, 6♣, 10♣ [9♠]",2022-07-26T04:13:36.894Z,165880881689400
"""FucklesO'Shit @ rFk31o2_aE"" checks",2022-07-26T04:13:36.070Z,165880881607000
"""Asscrack @ -PbnDssQ9T"" checks",2022-07-26T04:13:33.292Z,165880881329200
"Turn: 6♥, Q♠, 6♣ [10♣]",2022-07-26T04:13:31.214Z,165880881121400
"""FucklesO'Shit @ rFk31o2_aE"" checks",2022-07-26T04:13:30.399Z,165880881039900
"""Asscrack @ -PbnDssQ9T"" checks",2022-07-26T04:13:25.159Z,165880880515900
"Flop:  [6♥, Q♠, 6♣]",2022-07-26T04:13:22.092Z,165880880209200
"""Asscrack @ -PbnDssQ9T"" calls 1.60",2022-07-26T04:13:21.256Z,165880880125600
"""FucklesO'Shit @ rFk31o2_aE"" raises to 1.60",2022-07-26T04:13:16.402Z,165880879640200
"""Asscrack @ -PbnDssQ9T"" calls 0.40",2022-07-26T04:13:11.732Z,165880879173200
"""Daniel @ GRBkv8tCaD"" folds",2022-07-26T04:13:08.375Z,165880878837500
"""FucklesO'Shit @ rFk31o2_aE"" posts a big blind of 0.40",2022-07-26T04:13:06.200Z,165880878620007
"""Asscrack @ -PbnDssQ9T"" posts a small blind of 0.20",2022-07-26T04:13:06.200Z,165880878620006
