entry,at,order
"The player ""Bijo @ 2OPcsBdKEo"" stand up with the stack of 306.",2022-08-01T05:38:55.871Z,165933233587100
"The player ""Ayo @ QRvrL14Xbw"" quits the game with a stack of 609.",2022-08-01T05:38:46.887Z,165933232688700
"-- ending hand #326 --",2022-08-01T05:38:43.922Z,165933232392202
"""Bijo @ 2OPcsBdKEo"" collected 2 from pot",2022-08-01T05:38:43.922Z,165933232392201
"Uncalled bet of 2 returned to ""Bijo @ 2OPcsBdKEo""",2022-08-01T05:38:43.922Z,165933232392200
"""Ayo @ QRvrL14Xbw"" folds",2022-08-01T05:38:43.086Z,165933232308600
"""Bijo @ 2OPcsBdKEo"" raises to 3",2022-08-01T05:38:42.153Z,165933232215300
"""Ayo @ QRvrL14Xbw"" posts a big blind of 1",2022-08-01T05:38:32.913Z,165933231291305
"""Bijo @ 2OPcsBdKEo"" posts a small blind of 1",2022-08-01T05:38:32.913Z,165933231291304
"Player stacks: #6 ""Ayo @ QRvrL14Xbw"" (610) | #9 ""Bijo @ 2OPcsBdKEo"" (305)",2022-08-01T05:38:32.913Z,165933231291301
"-- starting hand #326  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Bijo @ 2OPcsBdKEo"") --",2022-08-01T05:38:32.913Z,165933231291300
"-- ending hand #325 --",2022-08-01T05:38:26.908Z,165933230690803
"""Bijo @ 2OPcsBdKEo"" collected 81 from pot with low hand with six high (combination: A♦, 3♦, 4♠, 5♦, 6♦)",2022-08-01T05:38:26.908Z,165933230690802
"""Bijo @ 2OPcsBdKEo"" collected 81 from pot with hi hand with flush ace high (combination: 4♦, 5♦, 6♦, 10♦, A♦)",2022-08-01T05:38:26.908Z,165933230690801
"""Bijo @ 2OPcsBdKEo"" shows a 4♠, A♦, 9♠, 4♦.",2022-08-01T05:38:26.908Z,165933230690800
"""Ayo @ QRvrL14Xbw"" calls 54",2022-08-01T05:38:26.104Z,165933230610400
"""Bijo @ 2OPcsBdKEo"" bets 54",2022-08-01T05:38:20.874Z,165933230087400
"River: 3♦, 5♦, 6♦, 10♦ [8♠]",2022-08-01T05:38:12.924Z,165933229292400
"""Ayo @ QRvrL14Xbw"" calls 18",2022-08-01T05:38:12.116Z,165933229211600
"""Bijo @ 2OPcsBdKEo"" bets 18",2022-08-01T05:38:10.739Z,165933229073900
"Turn: 3♦, 5♦, 6♦ [10♦]",2022-08-01T05:38:05.625Z,165933228562500
"""Ayo @ QRvrL14Xbw"" calls 6",2022-08-01T05:38:04.730Z,165933228473000
"""Bijo @ 2OPcsBdKEo"" bets 6",2022-08-01T05:38:03.524Z,165933228352400
"Flop:  [3♦, 5♦, 6♦]",2022-08-01T05:37:53.421Z,165933227342100
"""Ayo @ QRvrL14Xbw"" calls 3",2022-08-01T05:37:52.598Z,165933227259800
"""Bijo @ 2OPcsBdKEo"" raises to 3",2022-08-01T05:37:48.628Z,165933226862800
"""Ayo @ QRvrL14Xbw"" checks",2022-08-01T05:37:39.109Z,165933225910900
"""Bijo @ 2OPcsBdKEo"" posts a big blind of 1",2022-08-01T05:37:36.655Z,165933225665505
"""Ayo @ QRvrL14Xbw"" posts a small blind of 1",2022-08-01T05:37:36.655Z,165933225665504
"Player stacks: #6 ""Ayo @ QRvrL14Xbw"" (691) | #9 ""Bijo @ 2OPcsBdKEo"" (224)",2022-08-01T05:37:36.655Z,165933225665501
"-- starting hand #325  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Ayo @ QRvrL14Xbw"") --",2022-08-01T05:37:36.655Z,165933225665500
"-- ending hand #324 --",2022-08-01T05:37:30.601Z,165933225060103
"""Bijo @ 2OPcsBdKEo"" collected 3 from pot with low hand with eight high (combination: 3♥, 4♦, 5♦, 6♠, 8♦)",2022-08-01T05:37:30.601Z,165933225060102
"""Bijo @ 2OPcsBdKEo"" collected 3 from pot with hi hand with a pair of jacks (combination: 5♥, 8♦, 10♣, J♦, J♠)",2022-08-01T05:37:30.601Z,165933225060101
"""Bijo @ 2OPcsBdKEo"" shows a J♦, 6♠, J♠, 5♦.",2022-08-01T05:37:30.601Z,165933225060100
"""Bijo @ 2OPcsBdKEo"" checks",2022-08-01T05:37:29.774Z,165933224977400
"""Ayo @ QRvrL14Xbw"" checks",2022-08-01T05:37:27.037Z,165933224703700
"River: 8♦, 5♥, 10♣, 4♦ [3♥]",2022-08-01T05:37:24.604Z,165933224460400
"""Ayo @ QRvrL14Xbw"" calls 2",2022-08-01T05:37:23.789Z,165933224378900
"""Bijo @ 2OPcsBdKEo"" bets 2",2022-08-01T05:37:21.619Z,165933224161900
"""Ayo @ QRvrL14Xbw"" checks",2022-08-01T05:37:18.446Z,165933223844600
"Turn: 8♦, 5♥, 10♣ [4♦]",2022-08-01T05:37:15.993Z,165933223599300
"""Bijo @ 2OPcsBdKEo"" checks",2022-08-01T05:37:15.158Z,165933223515800
"""Ayo @ QRvrL14Xbw"" checks",2022-08-01T05:37:08.506Z,165933222850600
"Flop:  [8♦, 5♥, 10♣]",2022-08-01T05:37:06.879Z,165933222687900
"""Ayo @ QRvrL14Xbw"" checks",2022-08-01T05:37:06.064Z,165933222606400
"""Bijo @ 2OPcsBdKEo"" checks",2022-08-01T05:37:05.016Z,165933222501600
"""Ayo @ QRvrL14Xbw"" posts a big blind of 1",2022-08-01T05:37:00.569Z,165933222056905
"""Bijo @ 2OPcsBdKEo"" posts a small blind of 1",2022-08-01T05:37:00.569Z,165933222056904
"Player stacks: #6 ""Ayo @ QRvrL14Xbw"" (694) | #9 ""Bijo @ 2OPcsBdKEo"" (221)",2022-08-01T05:37:00.569Z,165933222056901
"-- starting hand #324  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Bijo @ 2OPcsBdKEo"") --",2022-08-01T05:37:00.569Z,165933222056900
"-- ending hand #323 --",2022-08-01T05:36:54.564Z,165933221456402
"""Bijo @ 2OPcsBdKEo"" collected 2 from pot",2022-08-01T05:36:54.564Z,165933221456401
"Uncalled bet of 2 returned to ""Bijo @ 2OPcsBdKEo""",2022-08-01T05:36:54.564Z,165933221456400
"""Ayo @ QRvrL14Xbw"" folds",2022-08-01T05:36:53.666Z,165933221366600
"""Bijo @ 2OPcsBdKEo"" bets 2",2022-08-01T05:36:51.452Z,165933221145200
"Turn: 6♠, Q♦, K♥ [Q♣]",2022-08-01T05:36:46.607Z,165933220660700
"""Ayo @ QRvrL14Xbw"" checks",2022-08-01T05:36:45.793Z,165933220579300
"""Bijo @ 2OPcsBdKEo"" checks",2022-08-01T05:36:44.810Z,165933220481000
"Flop:  [6♠, Q♦, K♥]",2022-08-01T05:36:38.804Z,165933219880400
"""Bijo @ 2OPcsBdKEo"" checks",2022-08-01T05:36:37.992Z,165933219799200
"""Ayo @ QRvrL14Xbw"" checks",2022-08-01T05:36:35.245Z,165933219524500
"""Bijo @ 2OPcsBdKEo"" posts a big blind of 1",2022-08-01T05:36:32.418Z,165933219241805
"""Ayo @ QRvrL14Xbw"" posts a small blind of 1",2022-08-01T05:36:32.418Z,165933219241804
"Player stacks: #6 ""Ayo @ QRvrL14Xbw"" (695) | #9 ""Bijo @ 2OPcsBdKEo"" (220)",2022-08-01T05:36:32.418Z,165933219241801
"-- starting hand #323  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Ayo @ QRvrL14Xbw"") --",2022-08-01T05:36:32.418Z,165933219241800
"-- ending hand #322 --",2022-08-01T05:36:26.398Z,165933218639803
"""Bijo @ 2OPcsBdKEo"" shows a 7♠, 4♠, 7♦, 5♠.",2022-08-01T05:36:26.398Z,165933218639802
"""Ayo @ QRvrL14Xbw"" collected 6 from pot with hi hand with two pair jacks and fours (combination: A♦, 4♣, 4♥, J♥, J♠)",2022-08-01T05:36:26.398Z,165933218639801
"""Ayo @ QRvrL14Xbw"" shows a J♥, 4♣, 5♥, 2♠.",2022-08-01T05:36:26.398Z,165933218639800
"""Bijo @ 2OPcsBdKEo"" checks",2022-08-01T05:36:25.590Z,165933218559000
"""Ayo @ QRvrL14Xbw"" checks",2022-08-01T05:36:24.048Z,165933218404800
"River: 4♥, J♠, 9♣, K♣ [A♦]",2022-08-01T05:36:22.343Z,165933218234300
"""Bijo @ 2OPcsBdKEo"" checks",2022-08-01T05:36:21.436Z,165933218143600
"""Ayo @ QRvrL14Xbw"" checks",2022-08-01T05:36:18.328Z,165933217832800
"Turn: 4♥, J♠, 9♣ [K♣]",2022-08-01T05:36:16.539Z,165933217653900
"""Bijo @ 2OPcsBdKEo"" calls 2",2022-08-01T05:36:15.685Z,165933217568500
"""Ayo @ QRvrL14Xbw"" bets 2",2022-08-01T05:36:03.123Z,165933216312300
"Flop:  [4♥, J♠, 9♣]",2022-08-01T05:35:58.904Z,165933215890400
"""Ayo @ QRvrL14Xbw"" checks",2022-08-01T05:35:58.084Z,165933215808400
