player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Mike C",sSumCtv6aE,2022-08-15T06:52:46.834Z,2022-08-15T07:59:05.057Z,200,0,0,-200
"sean",nIjE5tklyI,2022-08-15T06:29:51.650Z,,1339,,1194,-145
"MG is Back",tvBlY2L57T,2022-08-15T06:12:04.891Z,2022-08-15T07:39:58.801Z,600,649,0,49
"Mike C",sSumCtv6aE,2022-08-15T05:13:54.909Z,2022-08-15T06:41:44.973Z,600,0,0,-600
"TheTobacconist",7v3PNAqltW,2022-08-15T04:48:59.079Z,2022-08-15T08:00:24.617Z,500,796,0,296
"Sta",vsGPCY3Jgk,2022-08-15T04:15:37.376Z,2022-08-15T05:31:39.732Z,403,607,0,204
"MG",b-R5PpbV7M,2022-08-15T04:05:21.524Z,2022-08-15T05:59:26.083Z,650,452,0,-198
"JBerk",FRLndaAGK5,2022-08-15T04:01:16.141Z,2022-08-15T07:41:34.011Z,300,1090,0,790
"Mikey G",IXOP14UanO,2022-08-15T03:45:48.378Z,2022-08-15T04:02:15.213Z,400,599,0,199
"Diggles",GIZZ_uD4bc,2022-08-15T03:45:48.375Z,2022-08-15T04:45:54.506Z,400,445,0,45
"Rainman",mTNw7ztnhU,2022-08-15T03:37:56.670Z,2022-08-15T03:52:49.100Z,303,0,0,-303
"Diggles",GIZZ_uD4bc,2022-08-15T03:27:56.732Z,2022-08-15T03:43:29.717Z,200,0,0,-200
"KevinG",xaYwvsl4ih,2022-08-15T03:26:32.160Z,2022-08-15T04:04:31.097Z,250,856,0,606
"Mike C",sSumCtv6aE,2022-08-15T03:00:50.676Z,2022-08-15T05:12:30.401Z,300,0,0,-300
"Go-cha",_yNzp9-jK2,2022-08-15T02:56:16.711Z,2022-08-15T04:39:41.887Z,455,584,0,129
"Go-cha",_yNzp9-jK2,2022-08-15T02:43:03.053Z,2022-08-15T02:54:07.617Z,693,0,0,-693
"Rainman",mTNw7ztnhU,2022-08-15T02:27:26.954Z,2022-08-15T03:36:25.324Z,303,0,0,-303
"Jhon D",v4xDnHQ4un,2022-08-15T02:12:24.002Z,2022-08-15T05:46:54.825Z,200,988,0,788
"Fluffy",kHdDX9dnsk,2022-08-15T02:02:29.103Z,2022-08-15T02:08:26.273Z,500,0,0,-500
"KevinG",xaYwvsl4ih,2022-08-15T01:59:11.204Z,2022-08-15T03:25:12.172Z,250,0,0,-250
"Fluffy",kHdDX9dnsk,2022-08-15T01:54:59.123Z,2022-08-15T02:01:17.962Z,200,0,0,-200
"Hans",fVKCULQE4T,2022-08-15T01:31:49.891Z,2022-08-15T06:47:13.499Z,400,801,0,401
"White Mountain",OCDjleEVrm,2022-08-15T01:31:49.898Z,2022-08-15T03:09:07.374Z,300,0,0,-300
"JasonD",BYzDkZYWTC,2022-08-15T01:31:49.884Z,2022-08-15T02:59:46.725Z,600,941,0,341
"Sta",vsGPCY3Jgk,2022-08-15T01:31:49.888Z,2022-08-15T03:29:43.332Z,400,403,0,3
"Shane C",1oVGfSuLrX,2022-08-15T01:31:49.893Z,2022-08-15T04:03:22.617Z,500,411,0,-89
"Bessie",-PbnDssQ9T,2022-08-15T01:31:49.872Z,2022-08-15T07:39:09.766Z,300,730,0,430
