player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"MG",b-R5PpbV7M,2022-08-09T21:25:06.561Z,2022-08-09T22:11:15.426Z,300,380,0,80
"BIJO",zo9gU4FReT,2022-08-09T20:29:13.649Z,,695,,1537,842
"AZ",cq2i7Xm4Gf,2022-08-09T20:12:35.814Z,2022-08-09T21:48:43.561Z,300,0,0,-300
"kmz",34a10G4waX,2022-08-09T20:08:26.776Z,2022-08-09T22:12:12.285Z,500,478,0,-22
"BIJO",zo9gU4FReT,2022-08-09T19:44:43.154Z,2022-08-09T20:27:46.598Z,1100,695,0,-405
"Sta",fZaYb3uhNK,2022-08-09T18:25:46.227Z,2022-08-09T20:27:46.603Z,500,1190,0,690
"kmz",34a10G4waX,2022-08-09T18:21:37.631Z,2022-08-09T20:05:12.161Z,400,589,0,189
"KevinG",xaYwvsl4ih,2022-08-09T17:46:05.860Z,2022-08-09T20:58:03.225Z,250,678,0,428
"Sta",GJFKjJ-heL,2022-08-09T17:07:05.157Z,2022-08-09T17:49:33.859Z,250,0,0,-250
"BIJO",zo9gU4FReT,2022-08-09T17:05:49.346Z,2022-08-09T19:41:18.282Z,300,0,0,-300
"Dan V",c9rljbVYYw,2022-08-09T16:20:08.389Z,,250,,875,625
"Dan S.",OdMOrWFF72,2022-08-09T16:17:49.261Z,,1500,,1660,160
"Sean",nIjE5tklyI,2022-08-09T16:07:35.716Z,,1969,,1744,-225
"AZ",cq2i7Xm4Gf,2022-08-09T15:57:41.445Z,2022-08-09T16:27:01.658Z,180,0,0,-180
"Ryan T",Vh-ou2imrH,2022-08-09T15:29:19.067Z,2022-08-09T20:08:26.772Z,2500,2972,0,472
"Hans",fVKCULQE4T,2022-08-09T15:21:45.787Z,2022-08-10T00:16:09.939Z,2000,3619,0,1619
"BIJO",zo9gU4FReT,2022-08-09T14:46:28.942Z,2022-08-09T17:04:01.049Z,500,0,0,-500
"KevinG",xaYwvsl4ih,2022-08-09T14:36:35.584Z,2022-08-09T15:29:19.064Z,250,332,0,82
"Ryan T",Vh-ou2imrH,2022-08-09T14:27:46.376Z,2022-08-09T15:28:40.192Z,1400,1665,0,265
"BIJO",zo9gU4FReT,2022-08-09T14:27:46.374Z,2022-08-09T14:45:33.582Z,300,0,0,-300
"BIJO",zo9gU4FReT,2022-08-09T13:47:14.715Z,2022-08-09T14:27:03.072Z,200,0,0,-200
"BIJO",zo9gU4FReT,2022-08-09T13:29:43.634Z,2022-08-09T13:46:50.168Z,300,0,0,-300
"Hans",fVKCULQE4T,2022-08-09T13:08:59.535Z,2022-08-09T15:20:33.784Z,1100,0,0,-1100
"Bijo",Q85mcQV0dH,2022-08-09T06:16:29.011Z,2022-08-09T13:28:10.169Z,200,415,0,215
"Fluffy",kHdDX9dnsk,2022-08-09T05:42:33.210Z,2022-08-09T21:04:07.306Z,300,0,0,-300
"Fluffy",kHdDX9dnsk,2022-08-09T05:16:34.924Z,2022-08-09T05:40:32.506Z,200,0,0,-200
"Govha",_yNzp9-jK2,2022-08-09T05:06:05.942Z,2022-08-09T06:16:29.004Z,333,0,0,-333
"JBerk",FRLndaAGK5,2022-08-09T05:04:06.441Z,2022-08-09T05:14:31.399Z,300,0,0,-300
"Govha",_yNzp9-jK2,2022-08-09T04:53:34.749Z,2022-08-09T05:04:06.439Z,230,0,0,-230
"JBerk",FRLndaAGK5,2022-08-09T04:28:01.990Z,2022-08-09T05:01:45.293Z,300,0,0,-300
"Govha",_yNzp9-jK2,2022-08-09T03:55:45.887Z,2022-08-09T04:52:27.567Z,420,0,0,-420
"Jhon D",-9A_AJIz8m,2022-08-09T03:37:15.654Z,2022-08-09T06:32:34.092Z,200,0,0,-200
"Ayo",B4fy3-hQt0,2022-08-09T03:32:23.827Z,2022-08-09T06:37:09.336Z,250,1087,0,837
"Bijo",Q85mcQV0dH,2022-08-09T03:34:02.007Z,2022-08-09T06:14:39.228Z,200,0,0,-200
"Jhon D",-9A_AJIz8m,2022-08-09T03:24:43.279Z,2022-08-09T03:36:00.732Z,200,0,0,-200
"Sta",cHCoYBvV6D,2022-08-09T03:19:13.915Z,2022-08-09T08:28:14.693Z,400,700,0,300
"KevinG",xaYwvsl4ih,2022-08-09T02:14:23.736Z,2022-08-09T05:34:46.997Z,200,334,0,134
"Rainman",mTNw7ztnhU,2022-08-09T02:12:34.432Z,2022-08-09T05:14:31.395Z,300,0,0,-300
"Dan V",c9rljbVYYw,2022-08-09T02:09:02.248Z,2022-08-09T05:34:46.993Z,250,258,0,8
"Hans",fVKCULQE4T,2022-08-09T01:35:19.535Z,2022-08-09T06:44:51.722Z,400,931,0,531
"Bijo",Q85mcQV0dH,2022-08-09T01:11:10.888Z,2022-08-09T03:30:48.359Z,113,0,0,-113
"Jhon D",-9A_AJIz8m,2022-08-09T00:50:14.675Z,2022-08-09T02:19:27.806Z,213,0,0,-213
"Shane C",1oVGfSuLrX,2022-08-09T00:50:14.677Z,2022-08-09T04:16:12.124Z,300,301,0,1
"Bijo",Q85mcQV0dH,2022-08-09T00:50:14.673Z,2022-08-09T01:10:22.738Z,200,113,0,-87
