player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Rainman",mTNw7ztnhU,2022-08-17T05:38:34.710Z,2022-08-17T05:57:01.725Z,309,340,0,31
"J-hon",-9A_AJIz8m,2022-08-17T04:31:30.978Z,2022-08-17T05:55:25.788Z,300,168,0,-132
"Jhon D",v4xDnHQ4un,2022-08-17T03:45:30.820Z,2022-08-17T04:27:57.817Z,200,108,0,-92
"White Mountain",OCDjleEVrm,2022-08-17T02:16:06.524Z,2022-08-17T04:32:13.007Z,600,508,0,-92
"Shawn",nIjE5tklyI,2022-08-17T02:03:33.057Z,,669,,2489,1820
"Rainman",mTNw7ztnhU,2022-08-17T01:59:44.567Z,2022-08-17T03:55:31.361Z,309,641,0,332
"Bessie",CPoWyK5p8J,2022-08-17T01:37:15.214Z,,300,,723,423
"Bessie",CPoWyK5p8J,2022-08-17T01:16:20.392Z,2022-08-17T01:34:48.035Z,300,0,0,-300
"Steve W2",1jpxAzHHKE,2022-08-17T01:16:20.394Z,2022-08-17T02:00:50.438Z,250,401,0,151
"Steve W",0Wfk-MHL_v,,2022-08-17T01:14:11.919Z,200,200,0,0
"Ito",Tvnqso6eMQ,2022-08-17T01:16:20.398Z,2022-08-17T02:17:20.771Z,399,399,0,0
"KGB",_BpcncdqQH,2022-08-17T01:16:20.396Z,,300,,300,0
"Ryan T",Vh-ou2imrH,2022-08-17T01:16:20.402Z,2022-08-17T05:06:19.463Z,2243,0,0,-2243
"MG",b-R5PpbV7M,2022-08-17T01:16:20.389Z,2022-08-17T05:07:27.752Z,420,522,0,102
