player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Ayo",QRvrL14Xbw,2022-08-12T05:18:00.450Z,2022-08-12T06:37:22.499Z,200,0,0,-200
"Sta",QVDU2YXuxV,2022-08-12T04:06:38.461Z,2022-08-12T06:12:32.792Z,400,0,0,-400
"Ayo",QRvrL14Xbw,2022-08-12T04:05:40.918Z,2022-08-12T05:15:01.263Z,250,0,0,-250
"MG",tvBlY2L57T,2022-08-12T03:26:03.710Z,2022-08-12T05:21:27.202Z,200,169,0,-31
"Shane C",1oVGfSuLrX,2022-08-12T02:56:54.812Z,2022-08-12T04:16:04.057Z,300,187,0,-113
"Hans",fVKCULQE4T,2022-08-12T02:13:06.773Z,2022-08-12T06:40:19.402Z,500,1434,0,934
"Dan V",c9rljbVYYw,2022-08-12T01:42:41.817Z,2022-08-12T05:01:46.686Z,250,281,0,31
"Fluffy",kHdDX9dnsk,2022-08-12T01:29:56.475Z,2022-08-12T02:42:29.990Z,350,0,0,-350
"Fluffy",kHdDX9dnsk,2022-08-12T01:21:14.541Z,2022-08-12T01:29:17.647Z,150,0,0,-150
"Dan V",c9rljbVYYw,2022-08-12T01:03:12.475Z,2022-08-12T01:41:22.156Z,250,0,0,-250
"JasonD",BYzDkZYWTC,2022-08-12T01:03:12.472Z,2022-08-12T04:05:40.915Z,200,346,0,146
"BijoPhone",xc3BpBzCZf,,2022-08-12T00:06:14.016Z,1,1,0,0
"kmz",34a10G4waX,2022-08-12T01:03:12.476Z,,400,,344,-56
"Bijo",Q85mcQV0dH,2022-08-12T01:03:12.468Z,2022-08-12T06:40:35.346Z,200,889,0,689
