player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"TheTobacconist",7v3PNAqltW,2022-08-18T05:23:22.951Z,,300,,746,446
"AZ",cq2i7Xm4Gf,2022-08-18T05:00:05.937Z,2022-08-18T05:47:28.692Z,140,0,0,-140
"Magic Mitch",saMFGZTVZk,2022-08-18T04:48:47.305Z,2022-08-18T07:17:55.266Z,300,0,0,-300
"Rainman",mTNw7ztnhU,2022-08-18T04:16:57.555Z,2022-08-18T04:26:26.333Z,309,0,0,-309
"Ryan Tee",eWGXtwB436,2022-08-18T04:10:47.188Z,2022-08-18T05:11:40.984Z,1950,1657,0,-293
"Rainman",mTNw7ztnhU,2022-08-18T03:26:01.128Z,2022-08-18T04:14:46.861Z,309,0,0,-309
"KevinG",xaYwvsl4ih,2022-08-18T03:19:15.996Z,2022-08-18T03:49:56.420Z,250,0,0,-250
"Shane C",1oVGfSuLrX,2022-08-18T03:06:30.267Z,2022-08-18T04:28:37.918Z,285,297,0,12
"mg seet",tvBlY2L57T,2022-08-18T02:16:50.201Z,2022-08-18T02:43:00.696Z,1,1,0,0
"JBerk",AIipWhGFZy,2022-08-18T02:15:28.364Z,2022-08-18T05:34:52.206Z,420,0,0,-420
"Shane C",1oVGfSuLrX,2022-08-18T02:05:32.911Z,2022-08-18T03:05:43.670Z,300,0,0,-300
"Gocha",_yNzp9-jK2,2022-08-18T02:01:30.924Z,2022-08-18T04:19:53.092Z,333,1839,0,1506
"Sta",vsGPCY3Jgk,2022-08-18T01:31:46.347Z,2022-08-18T05:48:19.585Z,400,0,0,-400
"Josh",CPoWyK5p8J,2022-08-18T01:14:32.177Z,2022-08-18T06:02:06.586Z,627,657,0,30
"Gocha",_yNzp9-jK2,2022-08-18T01:11:29.922Z,2022-08-18T01:59:04.359Z,600,0,0,-600
"Gocha",_yNzp9-jK2,2022-08-18T01:09:23.816Z,2022-08-18T01:10:55.503Z,300,300,0,0
"KevinG",xaYwvsl4ih,2022-08-18T00:55:11.247Z,2022-08-18T03:18:14.828Z,250,0,0,-250
"MG",b-R5PpbV7M,2022-08-18T00:52:28.041Z,2022-08-18T06:03:24.659Z,420,1949,0,1529
"White Mountain",OCDjleEVrm,2022-08-18T00:50:47.378Z,2022-08-18T03:48:22.140Z,400,1705,0,1305
"Sta",vsGPCY3Jgk,2022-08-18T00:36:26.328Z,2022-08-18T01:29:17.312Z,600,0,0,-600
"Justin J",NqFG0mlXUh,2022-08-18T00:35:23.071Z,2022-08-18T02:15:28.358Z,400,599,0,199
"JBerk",AIipWhGFZy,2022-08-18T00:24:27.167Z,2022-08-18T02:12:09.870Z,300,0,0,-300
"JasonD",BYzDkZYWTC,2022-08-17T23:48:07.855Z,2022-08-18T02:01:30.918Z,200,291,0,91
"Ryan T",Vh-ou2imrH,2022-08-17T23:43:05.202Z,2022-08-18T01:07:25.357Z,849,795,0,-54
"sean",nIjE5tklyI,2022-08-17T23:43:05.199Z,,3137,,2544,-593
