player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Rainman",mTNw7ztnhU,2022-08-08T04:30:57.226Z,2022-08-08T12:04:34.080Z,300,613,0,313
"Hans",fVKCULQE4T,2022-08-08T04:21:41.534Z,,600,,744,144
"Fluffy",kHdDX9dnsk,2022-08-08T04:14:23.779Z,2022-08-08T04:25:53.821Z,292,0,0,-292
"Jhon D",-9A_AJIz8m,2022-08-08T03:49:26.670Z,,200,,714,514
"Magic Mitch",saMFGZTVZk,2022-08-08T03:11:25.871Z,,300,,191,-109
"Nabber",ObMhMoNahh,2022-08-08T03:05:12.388Z,2022-08-08T05:31:53.964Z,500,0,0,-500
"KevinG",xaYwvsl4ih,2022-08-08T02:15:23.600Z,2022-08-08T04:32:26.583Z,250,514,0,264
"sean",nIjE5tklyI,2022-08-08T01:19:50.698Z,,789,,471,-318
"ACobb",oyO35u0bzZ,2022-08-08T01:13:35.491Z,2022-08-08T04:11:42.313Z,200,213,0,13
"Magic Mitch",saMFGZTVZk,2022-08-08T01:13:35.489Z,2022-08-08T03:10:15.586Z,300,0,0,-300
"Sta",cHCoYBvV6D,2022-08-08T01:13:35.484Z,2022-08-08T03:35:59.923Z,400,452,0,52
"Steve W",Ib4P2hZdxT,2022-08-08T01:11:22.264Z,2022-08-08T02:53:56.742Z,250,252,0,2
"KevinG",xaYwvsl4ih,2022-08-08T01:03:26.076Z,2022-08-08T02:13:27.608Z,250,0,0,-250
"Govha",_yNzp9-jK2,2022-08-08T01:03:26.085Z,2022-08-08T03:47:34.744Z,633,916,0,283
"Shane C",1oVGfSuLrX,2022-08-08T01:03:26.083Z,2022-08-08T04:04:22.767Z,500,182,0,-318
"Sean",HnMQvC-jOA,2022-08-08T01:03:26.079Z,2022-08-08T01:18:07.139Z,420,420,0,0
"CJW",g_NfkVX0xY,2022-08-08T01:03:26.081Z,,300,,701,401
"MG",b-R5PpbV7M,2022-08-08T01:03:26.073Z,2022-08-08T04:56:32.728Z,420,521,0,101
