player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Fluffy",kHdDX9dnsk,2022-08-07T07:17:05.691Z,,200,,492,292
"KevinG",xaYwvsl4ih,2022-08-07T07:12:12.282Z,,550,,623,73
"Govha",_yNzp9-jK2,2022-08-07T06:53:49.284Z,2022-08-07T09:01:22.810Z,299,519,0,220
"Govha",_yNzp9-jK2,2022-08-07T05:42:24.934Z,2022-08-07T05:59:38.216Z,333,299,0,-34
"Jhon D",-9A_AJIz8m,2022-08-07T05:14:24.071Z,2022-08-07T06:51:53.062Z,400,200,0,-200
"KevinG",xaYwvsl4ih,2022-08-07T05:06:48.585Z,2022-08-07T07:11:34.598Z,250,0,0,-250
"kgb1",cay-BoQL1t,2022-08-07T04:59:01.621Z,2022-08-07T06:22:09.134Z,190,154,0,-36
"Rainman",mTNw7ztnhU,2022-08-07T04:40:01.973Z,2022-08-07T05:54:12.578Z,300,345,0,45
"KevinG",xaYwvsl4ih,2022-08-07T04:37:26.716Z,2022-08-07T04:38:03.938Z,250,250,0,0
"iThrowMoney",PR0_aK9iy7,2022-08-07T04:02:03.567Z,2022-08-07T04:11:12.653Z,400,0,0,-400
"Jhon D",-9A_AJIz8m,2022-08-07T03:49:53.787Z,2022-08-07T05:12:36.179Z,200,0,0,-200
"Diggles",rFk31o2_aE,2022-08-07T03:25:45.516Z,2022-08-07T05:05:25.605Z,600,569,0,-31
"Sta",vMQhDrnnXb,2022-08-07T02:49:16.125Z,2022-08-07T04:35:15.063Z,400,858,0,458
"Marco",co2l5g2fRb,2022-08-07T02:14:14.235Z,2022-08-07T04:15:47.543Z,420,1200,0,780
"Danielito",GRBkv8tCaD,2022-08-07T01:45:51.641Z,2022-08-07T02:47:18.418Z,369,366,0,-3
"White Mountain",OCDjleEVrm,2022-08-07T01:42:14.028Z,2022-08-07T02:50:17.782Z,400,0,0,-400
"KevinG",xaYwvsl4ih,2022-08-07T01:07:46.856Z,2022-08-07T02:10:45.769Z,250,133,0,-117
"Doof",fRjWH1I0D0,2022-08-07T00:54:41.700Z,2022-08-07T03:48:34.551Z,300,0,0,-300
"KGB",eNWdqk3ZUy,2022-08-07T00:48:35.134Z,2022-08-07T04:59:01.618Z,445,190,0,-255
"iThrowMoney",PR0_aK9iy7,2022-08-07T00:35:15.695Z,2022-08-07T01:24:29.505Z,400,381,0,-19
"Magic Mitch",saMFGZTVZk,2022-08-07T00:35:15.693Z,2022-08-07T04:01:28.124Z,300,678,0,378
"Landon",OFbSOuDMp_,2022-08-07T00:35:15.697Z,2022-08-07T04:28:13.121Z,300,0,0,-300
"MG",b-R5PpbV7M,2022-08-07T00:35:15.684Z,2022-08-07T08:48:57.356Z,420,842,0,422
"Nabber",ObMhMoNahh,2022-08-07T00:35:15.687Z,2022-08-07T06:03:30.031Z,400,356,0,-44
"White Mountain",OCDjleEVrm,2022-08-07T00:35:15.690Z,2022-08-07T01:39:30.913Z,400,0,0,-400
"MG",tvBlY2L57T,,2022-08-07T00:23:10.460Z,420,420,0,0
"Josh",-PbnDssQ9T,2022-08-07T00:35:15.678Z,2022-08-07T07:01:10.950Z,534,855,0,321
