player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Ayo",QRvrL14Xbw,2022-08-12T06:44:40.807Z,2022-08-12T07:20:25.795Z,200,0,0,-200
"Goch",pugerHgSEB,2022-08-12T06:05:56.574Z,2022-08-12T06:36:05.888Z,333,0,0,-333
"Fluffy",kHdDX9dnsk,2022-08-12T05:25:42.387Z,2022-08-12T06:58:50.928Z,250,0,0,-250
"Hans",fVKCULQE4T,2022-08-12T02:44:35.781Z,2022-08-12T06:47:05.517Z,500,1030,0,530
"JBerk",FRLndaAGK5,2022-08-12T02:33:58.290Z,2022-08-12T06:46:19.966Z,300,1213,0,913
"Magic Mitch",saMFGZTVZk,2022-08-12T01:59:06.231Z,2022-08-12T06:04:18.419Z,300,0,0,-300
"KevinG",xaYwvsl4ih,2022-08-12T01:46:54.070Z,2022-08-12T03:39:10.672Z,250,601,0,351
"Magic Mitch",saMFGZTVZk,2022-08-12T01:23:59.371Z,2022-08-12T01:58:37.462Z,300,0,0,-300
"Danielito",GRBkv8tCaD,2022-08-12T01:14:34.540Z,2022-08-12T01:56:10.400Z,420,0,0,-420
"Dildo",HnMQvC-jOA,2022-08-12T01:05:39.200Z,2022-08-12T02:44:35.778Z,420,420,0,0
"Sta",OGTUQOvJWg,2022-08-12T00:58:55.863Z,2022-08-12T06:38:26.755Z,700,420,0,-280
"Danielito",GRBkv8tCaD,2022-08-12T00:55:07.462Z,2022-08-12T01:13:55.908Z,369,0,0,-369
"MG",b-R5PpbV7M,2022-08-12T00:45:26.217Z,2022-08-12T07:18:56.442Z,609,689,0,80
"JasonD",BYzDkZYWTC,2022-08-12T00:41:00.470Z,2022-08-12T01:28:51.097Z,200,407,0,207
"kmz",34a10G4waX,2022-08-12T00:39:06.946Z,2022-08-12T04:00:56.614Z,400,313,0,-87
"Marco",co2l5g2fRb,2022-08-12T00:39:06.939Z,2022-08-12T03:01:15.285Z,500,330,0,-170
"MG",tvBlY2L57T,2022-08-12T00:39:06.943Z,2022-08-12T00:44:18.762Z,300,275,0,-25
"Josh",-PbnDssQ9T,2022-08-12T00:39:06.937Z,,300,,953,653
