player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Ayo",L2BVXEOQg7,2022-08-16T05:41:42.279Z,2022-08-16T08:20:21.099Z,400,0,0,-400
"TheTobacconist",7v3PNAqltW,2022-08-16T05:13:30.619Z,2022-08-16T06:41:43.526Z,500,0,0,-500
"MG",OVjjotxOlK,2022-08-16T04:47:16.464Z,2022-08-16T05:13:30.615Z,300,301,0,1
"KevinG",xaYwvsl4ih,2022-08-16T04:21:55.732Z,2022-08-16T06:59:03.531Z,200,524,0,324
"Ayo",L2BVXEOQg7,2022-08-16T04:23:37.305Z,2022-08-16T05:39:54.810Z,300,0,0,-300
"Diggles",GIZZ_uD4bc,2022-08-16T04:19:04.388Z,2022-08-16T04:42:08.202Z,200,0,0,-200
"@ThatAJ",G9C0-0sL8y,2022-08-16T03:47:47.577Z,2022-08-16T04:14:20.451Z,300,0,0,-300
"@ThatAJ",G9C0-0sL8y,2022-08-16T03:34:10.978Z,2022-08-16T03:45:42.877Z,300,0,0,-300
"JBerk",FRLndaAGK5,2022-08-16T03:28:43.310Z,2022-08-16T04:53:47.590Z,300,0,0,-300
"Rainman",mTNw7ztnhU,2022-08-16T03:22:45.955Z,2022-08-16T05:34:06.248Z,300,426,0,126
"Sta",vsGPCY3Jgk,2022-08-16T03:18:57.294Z,2022-08-16T05:35:04.605Z,400,859,0,459
"Gocha",_yNzp9-jK2,2022-08-16T03:18:57.291Z,2022-08-16T05:10:56.286Z,333,952,0,619
"Gocha",_yNzp9-jK2,2022-08-16T03:15:41.585Z,2022-08-16T03:17:17.493Z,333,0,0,-333
"Ayo",L2BVXEOQg7,2022-08-16T03:04:37.325Z,2022-08-16T04:20:49.880Z,300,0,0,-300
"Jhon D",-9A_AJIz8m,2022-08-16T03:03:02.740Z,2022-08-16T05:16:38.290Z,300,587,0,287
"Gocha",_yNzp9-jK2,2022-08-16T02:57:17.875Z,2022-08-16T03:14:16.491Z,300,0,0,-300
"Sta",vsGPCY3Jgk,2022-08-16T02:41:22.827Z,2022-08-16T03:17:17.488Z,398,0,0,-398
"Jhon D",-9A_AJIz8m,2022-08-16T02:37:52.949Z,2022-08-16T02:57:17.871Z,100,0,0,-100
"Sta Too",YABiGjzxDE,2022-08-16T02:35:13.686Z,2022-08-16T02:42:37.552Z,400,398,0,-2
"Diggles",GIZZ_uD4bc,2022-08-16T02:28:27.470Z,2022-08-16T03:30:59.819Z,300,0,0,-300
"Diggles",GIZZ_uD4bc,2022-08-16T02:23:16.272Z,2022-08-16T02:26:58.643Z,200,0,0,-200
"Hans",fVKCULQE4T,2022-08-16T02:15:46.971Z,2022-08-16T07:03:40.065Z,500,2059,0,1559
"Bijo",Of7lgJk1hJ,2022-08-16T02:10:57.104Z,,200,,1110,910
"kmz",34a10G4waX,2022-08-16T01:58:19.258Z,2022-08-16T04:17:45.398Z,400,511,0,111
"JasonD",BYzDkZYWTC,2022-08-16T01:58:19.239Z,2022-08-16T02:50:24.968Z,400,737,0,337
"Sta",ia71D9EChm,2022-08-16T01:58:19.244Z,2022-08-16T02:33:51.225Z,400,400,0,0
"Bijo",Of7lgJk1hJ,2022-08-16T01:58:19.253Z,2022-08-16T02:09:59.586Z,200,0,0,-200
"Hans",fVKCULQE4T,2022-08-16T01:58:19.242Z,2022-08-16T02:14:23.926Z,300,0,0,-300
