player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Ayo",QRvrL14Xbw,2022-08-17T05:10:08.097Z,2022-08-17T07:23:12.351Z,400,0,0,-400
"AZ",cq2i7Xm4Gf,2022-08-17T04:50:17.116Z,2022-08-17T05:21:25.524Z,200,0,0,-200
"J-hon",-9A_AJIz8m,2022-08-17T04:43:37.912Z,2022-08-17T06:20:25.500Z,1000,441,0,-559
"Gocha",_yNzp9-jK2,2022-08-17T04:35:11.646Z,2022-08-17T06:17:15.976Z,333,709,0,376
"J-hon",-9A_AJIz8m,2022-08-17T04:31:01.291Z,2022-08-17T04:40:20.092Z,400,0,0,-400
"Jhon",qu_1wJYRwz,2022-08-17T04:04:56.306Z,2022-08-17T04:28:42.044Z,400,388,0,-12
"Gocha",_yNzp9-jK2,2022-08-17T03:41:57.021Z,2022-08-17T04:31:01.287Z,300,0,0,-300
"sean",nIjE5tklyI,2022-08-17T03:13:04.171Z,,669,,843,174
"AZ",cq2i7Xm4Gf,2022-08-17T03:09:44.954Z,2022-08-17T04:45:49.786Z,200,0,0,-200
"KevinG",xaYwvsl4ih,2022-08-17T02:48:55.844Z,2022-08-17T05:38:01.086Z,200,506,0,306
"Shane C",1oVGfSuLrX,2022-08-17T02:25:09.508Z,2022-08-17T03:59:50.813Z,350,99,0,-251
"Kmz",34a10G4waX,2022-08-17T01:38:47.326Z,2022-08-17T02:45:14.117Z,400,453,0,53
"Sta",vsGPCY3Jgk,2022-08-17T01:24:42.078Z,2022-08-17T06:47:23.493Z,400,408,0,8
"KevinG",xaYwvsl4ih,2022-08-17T01:24:42.075Z,2022-08-17T02:46:50.912Z,200,0,0,-200
"Shane C",1oVGfSuLrX,2022-08-17T01:24:42.073Z,2022-08-17T02:23:46.828Z,350,0,0,-350
"Jhon D",v4xDnHQ4un,2022-08-17T01:22:32.868Z,2022-08-17T03:39:43.395Z,1000,930,0,-70
"Kmz",34a10G4waX,2022-08-17T01:05:57.470Z,2022-08-17T01:36:44.629Z,400,0,0,-400
"kmz",EDmrQZu1X7,2022-08-17T01:02:01.796Z,2022-08-17T01:04:13.164Z,400,400,0,0
"Bijo",Q85mcQV0dH,2022-08-17T01:02:01.782Z,,200,,711,511
"Jhon D",v4xDnHQ4un,2022-08-17T00:56:26.174Z,2022-08-17T01:21:18.250Z,1300,1065,0,-235
"Jason D",6fxKAYQzSG,2022-08-17T00:24:12.454Z,2022-08-17T02:43:34.578Z,2000,1290,0,-710
"Ryan T",Vh-ou2imrH,2022-08-17T00:21:31.886Z,2022-08-17T05:07:52.886Z,800,1330,0,530
"Dan S",OdMOrWFF72,2022-08-17T00:21:31.893Z,2022-08-17T06:17:15.973Z,777,1781,0,1004
"Hans",fVKCULQE4T,2022-08-17T00:21:31.891Z,2022-08-17T06:23:45.631Z,800,2325,0,1525
"JasonD",BYzDkZYWTC,2022-08-17T00:21:31.889Z,2022-08-17T00:22:12.780Z,400,400,0,0
"Bijo",Q85mcQV0dH,2022-08-17T00:21:31.884Z,2022-08-17T01:01:27.343Z,200,0,0,-200
