player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"KevinG",xaYwvsl4ih,2022-08-19T04:52:02.486Z,2022-08-19T06:39:41.338Z,250,0,0,-250
"KevinG",xaYwvsl4ih,2022-08-19T04:09:03.194Z,2022-08-19T04:50:40.991Z,250,0,0,-250
"Daniel",Tvnqso6eMQ,2022-08-19T04:00:57.508Z,2022-08-19T05:34:21.167Z,420,533,0,113
"Fluffy",kHdDX9dnsk,2022-08-19T03:49:01.516Z,,250,,671,421
"MG69",OVjjotxOlK,2022-08-19T03:49:01.512Z,,420,,1055,635
"Magic Mitch",saMFGZTVZk,2022-08-19T03:39:50.708Z,2022-08-19T04:25:22.472Z,300,0,0,-300
"sean",nIjE5tklyI,2022-08-19T03:33:28.119Z,2022-08-19T05:34:21.163Z,1267,845,0,-422
"Ryan T",Vh-ou2imrH,2022-08-19T02:54:14.406Z,,420,,850,430
"Shawn",HnMQvC-jOA,2022-08-19T02:48:40.378Z,2022-08-19T03:32:08.206Z,818,729,0,-89
"Magic Mitch",saMFGZTVZk,2022-08-19T02:34:29.099Z,2022-08-19T03:38:54.209Z,300,0,0,-300
"Hans",fVKCULQE4T,2022-08-19T02:12:12.315Z,,1000,,540,-460
"Gocha",_yNzp9-jK2,2022-08-19T02:05:40.177Z,2022-08-19T02:59:03.029Z,333,0,0,-333
"Jhon D",v4xDnHQ4un,2022-08-19T02:03:06.177Z,2022-08-19T04:44:51.311Z,200,1100,0,900
"mike c",_ox752mFCF,2022-08-19T01:03:46.156Z,2022-08-19T02:45:19.287Z,400,400,0,0
"White Mountain",OCDjleEVrm,2022-08-19T01:03:46.169Z,2022-08-19T04:10:50.817Z,559,731,0,172
"Rainman",mTNw7ztnhU,2022-08-19T01:03:46.160Z,2022-08-19T04:06:16.799Z,333,333,0,0
"MG69",OVjjotxOlK,2022-08-19T01:03:46.166Z,2022-08-19T03:47:59.138Z,420,0,0,-420
"Bessie",QQtwfrEg_l,2022-08-19T01:03:46.164Z,2022-08-19T02:12:12.312Z,300,300,0,0
"sean",nIjE5tklyI,2022-08-19T01:03:46.150Z,2022-08-19T02:46:36.573Z,665,818,0,153
