player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"AZ",cq2i7Xm4Gf,2022-08-20T05:08:44.414Z,2022-08-20T07:43:01.738Z,200,0,0,-200
"Sta",vsGPCY3Jgk,2022-08-20T04:47:34.722Z,,800,,445,-355
"TheTobacconist",7v3PNAqltW,2022-08-20T04:29:53.823Z,2022-08-20T05:11:56.505Z,400,193,0,-207
"Rainman",mTNw7ztnhU,2022-08-20T04:19:38.982Z,2022-08-20T06:00:07.304Z,300,553,0,253
"Fluffy",kHdDX9dnsk,2022-08-20T03:42:58.139Z,2022-08-20T04:47:34.718Z,250,0,0,-250
"Gocha",_yNzp9-jK2,2022-08-20T03:36:36.024Z,2022-08-20T04:40:47.041Z,420,0,0,-420
"kmz",34a10G4waX,2022-08-20T02:23:22.115Z,,400,,1003,603
"Doof",fRjWH1I0D0,2022-08-20T02:22:05.269Z,2022-08-20T06:22:50.296Z,300,0,0,-300
"Doof",fRjWH1I0D0,2022-08-20T01:56:56.647Z,2022-08-20T02:20:35.376Z,300,0,0,-300
"Steve W",17FR4lxuQc,2022-08-20T01:54:06.018Z,2022-08-20T02:47:39.987Z,200,232,0,32
"Shane C",1oVGfSuLrX,2022-08-20T01:36:44.875Z,2022-08-20T02:43:09.110Z,300,0,0,-300
"JasonD",BYzDkZYWTC,2022-08-20T01:04:56.795Z,2022-08-20T03:07:28.696Z,600,1157,0,557
"Rainman",mTNw7ztnhU,2022-08-20T00:56:39.376Z,2022-08-20T01:34:21.033Z,300,314,0,14
"JasonD",BYzDkZYWTC,2022-08-20T00:39:28.004Z,2022-08-20T01:03:54.564Z,200,0,0,-200
"KevinG",xaYwvsl4ih,2022-08-20T00:39:28.013Z,2022-08-20T05:55:12.659Z,500,502,0,2
"PLOVID-69",tvBlY2L57T,2022-08-20T00:39:28.018Z,2022-08-20T05:35:23.783Z,420,679,0,259
"Jhon D",v4xDnHQ4un,2022-08-20T00:39:27.998Z,2022-08-20T04:58:17.816Z,200,310,0,110
"Assface",XY10oxfA1z,,2022-08-19T22:52:23.731Z,696969,696969,0,0
"PLOvid-69",bHjbhHffXf,,2022-08-19T23:44:30.489Z,420,420,0,0
"sean",nIjE5tklyI,2022-08-20T00:39:28.007Z,,1387,,2089,702
