player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Ayo",QRvrL14Xbw,2022-08-11T06:37:00.194Z,2022-08-11T08:06:26.924Z,200,440,0,240
"iThrowMoneyy",PR0_aK9iy7,2022-08-11T06:20:16.460Z,2022-08-11T06:25:58.757Z,400,0,0,-400
"Landon",aMnqU-MI2D,2022-08-11T06:00:49.598Z,2022-08-11T06:29:54.488Z,200,0,0,-200
"iThrowMoney",MMDiK6BUZk,2022-08-11T05:55:51.227Z,2022-08-11T06:19:16.605Z,400,394,0,-6
"Landon",aMnqU-MI2D,2022-08-11T05:12:56.176Z,2022-08-11T05:55:51.224Z,250,0,0,-250
"Jhon D",-9A_AJIz8m,2022-08-11T05:00:06.907Z,2022-08-11T05:27:02.156Z,200,122,0,-78
"Sta",vsGPCY3Jgk,2022-08-11T04:53:41.369Z,2022-08-11T06:51:56.197Z,500,0,0,-500
"jberk",FRLndaAGK5,2022-08-11T04:45:01.239Z,2022-08-11T06:57:35.318Z,1020,1501,0,481
"Jhon D",-9A_AJIz8m,2022-08-11T04:41:31.367Z,2022-08-11T04:59:34.489Z,200,0,0,-200
"Ayo",QRvrL14Xbw,2022-08-11T04:35:45.144Z,2022-08-11T06:35:45.970Z,200,0,0,-200
"Sta",vsGPCY3Jgk,2022-08-11T04:34:48.932Z,2022-08-11T04:47:27.470Z,500,0,0,-500
"kmz",34a10G4waX,2022-08-11T02:30:15.997Z,2022-08-11T05:05:44.672Z,400,595,0,195
"Shane C",1oVGfSuLrX,2022-08-11T02:25:07.206Z,2022-08-11T04:26:41.236Z,300,149,0,-151
"Ayo",QRvrL14Xbw,2022-08-11T02:09:31.017Z,2022-08-11T04:34:48.928Z,250,0,0,-250
"Sta",vsGPCY3Jgk,2022-08-11T02:03:42.286Z,2022-08-11T04:33:20.199Z,1300,474,0,-826
"Dan V",c9rljbVYYw,2022-08-11T01:53:42.102Z,2022-08-11T02:18:07.238Z,250,0,0,-250
"Shane C",1oVGfSuLrX,2022-08-11T01:12:39.882Z,2022-08-11T02:24:43.783Z,500,0,0,-500
"Josh",-PbnDssQ9T,2022-08-11T01:08:25.380Z,,427,,2338,1911
"Steve W",Ks5tf55TJ8,2022-08-11T01:06:58.233Z,2022-08-11T02:07:22.144Z,200,477,0,277
"Nabber",ObMhMoNahh,2022-08-11T01:06:58.219Z,2022-08-11T06:29:54.484Z,500,0,0,-500
"Hans",fVKCULQE4T,2022-08-11T01:06:58.228Z,2022-08-11T06:57:10.433Z,700,1245,0,545
"Doof",fRjWH1I0D0,2022-08-11T01:06:58.237Z,2022-08-11T02:02:07.428Z,300,395,0,95
"Dan V",c9rljbVYYw,2022-08-11T01:06:58.225Z,2022-08-11T01:52:09.054Z,250,0,0,-250
"JBerk",AIipWhGFZy,2022-08-11T01:06:58.235Z,2022-08-11T04:42:45.527Z,300,1020,0,720
"Magic Mitch",saMFGZTVZk,2022-08-11T01:06:58.230Z,,300,,1323,1023
"MG",b-R5PpbV7M,2022-08-11T01:06:58.216Z,2022-08-11T08:09:30.181Z,935,509,0,-426
