player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Gocha",pugerHgSEB,2022-08-23T17:41:50.500Z,2022-08-23T18:48:14.401Z,620,0,0,-620
"JasonD",BYzDkZYWTC,2022-08-23T17:12:22.639Z,,400,,505,105
"JBerk",FRLndaAGK5,2022-08-23T17:10:02.324Z,2022-08-23T19:45:38.529Z,300,511,0,211
"Ryan T",Vh-ou2imrH,2022-08-23T16:48:22.935Z,,1000,,1382,382
"KevinG",xaYwvsl4ih,2022-08-23T16:43:52.702Z,,200,,357,157
"MG",tvBlY2L57T,2022-08-23T16:42:20.808Z,2022-08-23T18:27:34.587Z,300,0,0,-300
"sean",nIjE5tklyI,2022-08-23T16:35:41.168Z,,420,,414,-6
"BijoPhone",9lCw3N-csD,2022-08-23T15:13:12.966Z,,200,,1025,825
"BijoPhone",9lCw3N-csD,2022-08-23T12:21:15.913Z,2022-08-23T15:12:44.070Z,500,0,0,-500
"JasonD",BYzDkZYWTC,2022-08-23T09:43:16.917Z,2022-08-23T16:43:52.699Z,400,798,0,398
"AZ",cq2i7Xm4Gf,2022-08-23T09:32:02.617Z,2022-08-23T09:54:04.114Z,200,0,0,-200
"Bijo",Q85mcQV0dH,2022-08-23T09:08:29.733Z,2022-08-23T12:22:23.370Z,500,975,0,475
"Bijo",Q85mcQV0dH,2022-08-23T06:18:42.182Z,2022-08-23T09:08:20.153Z,400,0,0,-400
"Bijo",Q85mcQV0dH,2022-08-23T06:03:33.456Z,2022-08-23T06:16:57.256Z,190,0,0,-190
"Sta",vsGPCY3Jgk,2022-08-23T05:33:34.946Z,2022-08-23T05:50:48.746Z,400,0,0,-400
"Bijo",Q85mcQV0dH,2022-08-23T05:11:30.725Z,2022-08-23T06:01:33.357Z,300,190,0,-110
"Fluffy",kHdDX9dnsk,2022-08-23T04:53:25.520Z,,300,200,214,114
"Ayo",L2BVXEOQg7,2022-08-23T04:39:34.458Z,2022-08-23T07:40:33.624Z,300,869,0,569
"gt",_yNzp9-jK2,2022-08-23T04:25:48.263Z,2022-08-23T07:00:35.957Z,690,0,0,-690
"KevinG",xaYwvsl4ih,2022-08-23T03:51:49.605Z,2022-08-23T05:44:14.645Z,200,633,0,433
"Ayo",L2BVXEOQg7,2022-08-23T03:51:49.603Z,2022-08-23T04:37:08.168Z,527,0,0,-527
"JBerk",FRLndaAGK5,2022-08-23T03:34:38.896Z,2022-08-23T08:01:56.117Z,420,1420,0,1000
"gt",_yNzp9-jK2,2022-08-23T02:50:49.352Z,2022-08-23T04:22:05.674Z,300,0,0,-300
"Rainman",mTNw7ztnhU,2022-08-23T02:00:23.117Z,2022-08-23T06:01:33.361Z,300,945,0,645
"Dan V",c9rljbVYYw,2022-08-23T01:34:42.936Z,2022-08-23T01:46:54.418Z,250,0,0,-250
"Dan",OdMOrWFF72,2022-08-23T01:34:42.924Z,2022-08-23T05:44:14.642Z,1077,1404,0,327
"TheTobacconist",7v3PNAqltW,2022-08-23T01:29:52.287Z,2022-08-23T04:56:34.760Z,300,0,0,-300
"Rainman",mTNw7ztnhU,2022-08-23T01:28:37.197Z,2022-08-23T01:57:50.064Z,300,0,0,-300
"Sta",vsGPCY3Jgk,2022-08-23T01:10:55.796Z,2022-08-23T04:50:15.675Z,500,0,0,-500
"Dan V",c9rljbVYYw,2022-08-23T01:01:26.855Z,2022-08-23T01:33:07.019Z,250,0,0,-250
"Ryan t",eWGXtwB436,2022-08-23T00:55:18.061Z,2022-08-23T01:25:54.106Z,650,598,0,-52
"TheTobacconist",7v3PNAqltW,2022-08-23T00:50:17.913Z,2022-08-23T01:27:21.758Z,300,0,0,-300
"Ayo",L2BVXEOQg7,2022-08-23T00:41:46.450Z,2022-08-23T01:33:07.027Z,250,278,0,28
"Bijo",Q85mcQV0dH,2022-08-23T00:16:20.901Z,2022-08-23T05:09:47.555Z,200,0,0,-200
"Shane C",1oVGfSuLrX,2022-08-23T00:09:59.164Z,2022-08-23T03:46:50.203Z,500,190,0,-310
"Dan V",c9rljbVYYw,2022-08-22T23:46:29.834Z,2022-08-23T00:55:18.058Z,250,246,0,-4
"KevinG",xaYwvsl4ih,2022-08-22T23:44:09.674Z,2022-08-23T03:49:31.493Z,200,0,0,-200
"JasonD",BYzDkZYWTC,2022-08-22T23:44:09.671Z,2022-08-23T01:09:32.338Z,250,431,0,181
"Hans",fVKCULQE4T,2022-08-22T23:44:09.677Z,2022-08-23T16:43:52.695Z,500,1459,0,959
"Jhon D",v4xDnHQ4un,2022-08-22T23:44:09.679Z,2022-08-23T01:50:06.278Z,200,500,0,300
"Bijo",Q85mcQV0dH,2022-08-22T23:44:09.666Z,2022-08-23T00:15:09.724Z,200,0,0,-200
