player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Jhon",v4xDnHQ4un,2022-07-30T07:35:09.326Z,2022-07-30T07:50:37.420Z,650,650,0,0
"KevinG",xaYwvsl4ih,2022-07-30T06:14:42.011Z,2022-07-30T08:42:46.053Z,200,0,0,-200
"Ayo",L2BVXEOQg7,2022-07-30T06:11:24.280Z,2022-07-30T08:23:48.397Z,200,401,0,201
"Bijo",YjlugQNsNd,2022-07-30T06:04:43.626Z,,500,,836,336
"Jhon D",-9A_AJIz8m,2022-07-30T05:36:24.654Z,2022-07-30T07:33:12.987Z,800,688,0,-112
"Jhon D",-9A_AJIz8m,2022-07-30T04:34:37.038Z,2022-07-30T05:33:53.141Z,348,0,0,-348
"JBerk",FRLndaAGK5,2022-07-30T04:17:06.718Z,2022-07-30T07:55:03.597Z,300,1679,0,1379
"JBerk",FRLndaAGK5,2022-07-30T03:59:51.973Z,2022-07-30T04:15:28.171Z,300,0,0,-300
"KevinG",xaYwvsl4ih,2022-07-30T03:59:51.971Z,2022-07-30T06:13:26.990Z,200,0,0,-200
"Jhon D",-9A_AJIz8m,2022-07-30T03:26:37.412Z,2022-07-30T04:33:11.060Z,100,348,0,248
"Dan V",c9rljbVYYw,2022-07-30T02:42:52.978Z,2022-07-30T02:51:36.119Z,250,229,0,-21
"Jhon D",-9A_AJIz8m,2022-07-30T02:39:09.317Z,2022-07-30T03:25:12.080Z,590,0,0,-590
"Bijo",YjlugQNsNd,2022-07-30T01:51:21.853Z,2022-07-30T06:02:50.914Z,200,0,0,-200
"Bijo",YjlugQNsNd,2022-07-30T01:45:45.461Z,2022-07-30T01:48:44.466Z,200,0,0,-200
"MG68",tvBlY2L57T,2022-07-30T01:37:24.978Z,2022-07-30T07:42:41.436Z,1372,610,0,-762
"Bijo",YjlugQNsNd,2022-07-30T01:35:58.275Z,2022-07-30T01:44:01.890Z,200,0,0,-200
"Bijo",YjlugQNsNd,2022-07-30T01:26:46.257Z,2022-07-30T01:34:37.764Z,200,0,0,-200
"Jhon D",-9A_AJIz8m,2022-07-30T01:17:18.327Z,2022-07-30T02:04:07.683Z,100,590,0,490
"Bijo",YjlugQNsNd,2022-07-30T01:14:36.696Z,2022-07-30T01:23:50.768Z,200,0,0,-200
"Shane C",nrsqynN9MF,2022-07-30T00:55:15.857Z,2022-07-30T04:23:45.120Z,250,1453,0,1203
"Ayo",L2BVXEOQg7,2022-07-30T00:54:30.696Z,2022-07-30T01:23:50.765Z,200,0,0,-200
"MG68",tvBlY2L57T,2022-07-30T00:54:30.694Z,2022-07-30T01:35:58.268Z,300,0,0,-300
"Diggles",rFk31o2_aE,2022-07-30T00:54:30.691Z,2022-07-30T01:20:43.236Z,200,132,0,-68
"Ryan T",m9LcbeuYup,2022-07-30T00:54:30.688Z,2022-07-30T04:23:45.116Z,482,726,0,244
