player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Fluffy",kHdDX9dnsk,2022-08-19T07:02:46.236Z,2022-08-19T07:16:04.173Z,221,0,0,-221
"Fluffy",kHdDX9dnsk,2022-08-19T06:59:24.864Z,2022-08-19T07:01:57.198Z,150,0,0,-150
"KevinG",xaYwvsl4ih,2022-08-19T06:58:29.817Z,,200,,207,7
"Fluffy",kHdDX9dnsk,2022-08-19T06:48:15.186Z,2022-08-19T06:57:32.970Z,150,0,0,-150
"Fluffy",kHdDX9dnsk,2022-08-19T06:42:03.290Z,2022-08-19T06:47:14.332Z,150,0,0,-150
"KevinG",xaYwvsl4ih,2022-08-19T06:41:05.433Z,2022-08-19T06:57:32.966Z,200,0,0,-200
"Rainman",mTNw7ztnhU,2022-08-19T05:00:29.371Z,2022-08-19T06:53:38.762Z,300,492,0,192
"Ryan T",Vh-ou2imrH,2022-08-19T02:51:39.340Z,,750,,824,74
"Sean",nIjE5tklyI,2022-08-19T02:36:59.314Z,,420,,209,-211
"Shane C",1oVGfSuLrX,2022-08-19T02:26:04.546Z,2022-08-19T03:48:12.731Z,300,300,0,0
"Sta",EQdJ3f2NGI,2022-08-19T01:46:18.512Z,,400,,965,565
"Shane C",1oVGfSuLrX,2022-08-19T01:40:28.833Z,2022-08-19T02:24:19.731Z,300,0,0,-300
"Bijo",5Jv76m9co0,2022-08-19T01:19:48.266Z,,500,,2536,2036
"Bijo",5Jv76m9co0,2022-08-19T01:11:35.376Z,2022-08-19T01:19:01.500Z,200,0,0,-200
"Dan S",OdMOrWFF72,2022-08-19T00:43:40.075Z,,1200,,1072,-128
"KevinG",xaYwvsl4ih,2022-08-19T00:43:40.072Z,2022-08-19T04:24:44.448Z,200,0,0,-200
"JasonD",BYzDkZYWTC,2022-08-19T00:35:11.115Z,2022-08-19T02:12:50.929Z,800,819,0,19
"Rainman",mTNw7ztnhU,2022-08-19T00:34:02.321Z,2022-08-19T03:46:16.105Z,200,230,0,30
"Sean",nIjE5tklyI,2022-08-19T00:34:02.324Z,2022-08-19T02:36:18.184Z,200,0,0,-200
"Hans",fVKCULQE4T,2022-08-19T00:34:02.301Z,,800,,387,-413
"KevinG",xaYwvsl4ih,2022-08-19T00:34:02.308Z,2022-08-19T00:41:27.676Z,200,0,0,-200
"Bijo",5Jv76m9co0,2022-08-19T00:34:02.290Z,2022-08-19T01:09:47.713Z,200,0,0,-200
