entry,at,order
"The player ""JBerk @ FRLndaAGK5"" passed the room ownership to ""MG @ b-R5PpbV7M"".",2022-08-21T06:50:42.638Z,166106464263800
"The player ""JBerk @ FRLndaAGK5"" quits the game with a stack of 286.",2022-08-21T06:44:42.524Z,166106428252400
"The player ""JBerk @ FRLndaAGK5"" stand up with the stack of 286.",2022-08-21T06:44:37.550Z,166106427755000
"The player ""JBerk @ FRLndaAGK5"" sit back with the stack of 286.",2022-08-21T06:44:36.284Z,166106427628400
"The player ""JBerk @ FRLndaAGK5"" stand up with the stack of 286.",2022-08-21T06:44:35.340Z,166106427534000
"-- ending hand #427 --",2022-08-21T06:44:32.405Z,166106427240502
"""TheTobacconist @ 7v3PNAqltW"" collected 182 from pot",2022-08-21T06:44:32.405Z,166106427240501
"Uncalled bet of 97 returned to ""TheTobacconist @ 7v3PNAqltW""",2022-08-21T06:44:32.405Z,166106427240500
"""JBerk @ FRLndaAGK5"" folds",2022-08-21T06:44:31.589Z,166106427158900
"""TheTobacconist @ 7v3PNAqltW"" raises to 150",2022-08-21T06:44:22.080Z,166106426208000
"""JBerk @ FRLndaAGK5"" bets 53",2022-08-21T06:44:11.594Z,166106425159400
"River: Q♦, 6♦, K♦, 10♠ [7♣]",2022-08-21T06:43:58.715Z,166106423871500
"""TheTobacconist @ 7v3PNAqltW"" calls 22",2022-08-21T06:43:57.840Z,166106423784000
"""JBerk @ FRLndaAGK5"" bets 22",2022-08-21T06:43:51.477Z,166106423147700
"Turn: Q♦, 6♦, K♦ [10♠]",2022-08-21T06:43:44.302Z,166106422430200
"""TheTobacconist @ 7v3PNAqltW"" calls 10",2022-08-21T06:43:43.439Z,166106422343900
"""JBerk @ FRLndaAGK5"" raises to 10",2022-08-21T06:43:36.178Z,166106421617800
"""TheTobacconist @ 7v3PNAqltW"" bets 4",2022-08-21T06:43:30.756Z,166106421075600
"""JBerk @ FRLndaAGK5"" checks",2022-08-21T06:43:25.390Z,166106420539000
"Flop:  [Q♦, 6♦, K♦]",2022-08-21T06:43:23.279Z,166106420327900
"""JBerk @ FRLndaAGK5"" calls 6",2022-08-21T06:43:22.328Z,166106420232800
"""TheTobacconist @ 7v3PNAqltW"" raises to 6",2022-08-21T06:43:20.494Z,166106420049400
"""JBerk @ FRLndaAGK5"" posts a big blind of 2",2022-08-21T06:43:16.678Z,166106419667805
"""TheTobacconist @ 7v3PNAqltW"" posts a small blind of 1",2022-08-21T06:43:16.678Z,166106419667804
"Player stacks: #2 ""TheTobacconist @ 7v3PNAqltW"" (442) | #3 ""JBerk @ FRLndaAGK5"" (377)",2022-08-21T06:43:16.678Z,166106419667801
"-- starting hand #427  (No Limit Texas Hold'em) (dealer: ""TheTobacconist @ 7v3PNAqltW"") --",2022-08-21T06:43:16.678Z,166106419667800
"-- ending hand #426 --",2022-08-21T06:43:13.722Z,166106419372202
