entry,at,order
"The player ""Shawn @ nIjE5tklyI"" stand up with the stack of 2489.",2022-08-17T06:16:11.718Z,166071697171800
"-- ending hand #442 --",2022-08-17T06:16:08.767Z,166071696876702
"""Shawn @ nIjE5tklyI"" collected 4 from pot",2022-08-17T06:16:08.767Z,166071696876701
"Uncalled bet of 8 returned to ""Shawn @ nIjE5tklyI""",2022-08-17T06:16:08.767Z,166071696876700
"""Bessie @ CPoWyK5p8J"" folds",2022-08-17T06:16:07.951Z,166071696795100
"""Shawn @ nIjE5tklyI"" raises to 10",2022-08-17T06:16:05.375Z,166071696537500
"""Bessie @ CPoWyK5p8J"" calls 2",2022-08-17T06:16:03.267Z,166071696326700
"""Shawn @ nIjE5tklyI"" posts a big blind of 2",2022-08-17T06:15:59.100Z,166071695910005
"""Bessie @ CPoWyK5p8J"" posts a small blind of 1",2022-08-17T06:15:59.100Z,166071695910004
"Player stacks: #2 ""Bessie @ CPoWyK5p8J"" (725) | #5 ""Shawn @ nIjE5tklyI"" (2487)",2022-08-17T06:15:59.100Z,166071695910001
"-- starting hand #442  (No Limit Texas Hold'em) (dealer: ""Bessie @ CPoWyK5p8J"") --",2022-08-17T06:15:59.100Z,166071695910000
"-- ending hand #441 --",2022-08-17T06:15:56.098Z,166071695609802
"""Shawn @ nIjE5tklyI"" collected 10 from pot",2022-08-17T06:15:56.098Z,166071695609801
"Uncalled bet of 3 returned to ""Shawn @ nIjE5tklyI""",2022-08-17T06:15:56.098Z,166071695609800
"""Bessie @ CPoWyK5p8J"" folds",2022-08-17T06:15:55.193Z,166071695519300
"""Shawn @ nIjE5tklyI"" bets 3",2022-08-17T06:15:54.313Z,166071695431300
"""Bessie @ CPoWyK5p8J"" checks",2022-08-17T06:15:46.652Z,166071694665200
"Flop:  [4♣, Q♣, 7♥]",2022-08-17T06:15:45.091Z,166071694509100
"""Bessie @ CPoWyK5p8J"" calls 5",2022-08-17T06:15:44.284Z,166071694428400
"""Shawn @ nIjE5tklyI"" raises to 5",2022-08-17T06:15:42.040Z,166071694204000
"""Bessie @ CPoWyK5p8J"" posts a big blind of 2",2022-08-17T06:15:38.281Z,166071693828105
"""Shawn @ nIjE5tklyI"" posts a small blind of 1",2022-08-17T06:15:38.281Z,166071693828104
"Player stacks: #2 ""Bessie @ CPoWyK5p8J"" (730) | #5 ""Shawn @ nIjE5tklyI"" (2482)",2022-08-17T06:15:38.281Z,166071693828101
"-- starting hand #441  (No Limit Texas Hold'em) (dealer: ""Shawn @ nIjE5tklyI"") --",2022-08-17T06:15:38.281Z,166071693828100
"-- ending hand #440 --",2022-08-17T06:15:35.279Z,166071693527902
"""Shawn @ nIjE5tklyI"" collected 2 from pot",2022-08-17T06:15:35.279Z,166071693527901
"Uncalled bet of 1 returned to ""Shawn @ nIjE5tklyI""",2022-08-17T06:15:35.279Z,166071693527900
"""Bessie @ CPoWyK5p8J"" folds",2022-08-17T06:15:34.476Z,166071693447600
"""Shawn @ nIjE5tklyI"" posts a big blind of 2",2022-08-17T06:15:32.679Z,166071693267905
"""Bessie @ CPoWyK5p8J"" posts a small blind of 1",2022-08-17T06:15:32.679Z,166071693267904
"Player stacks: #2 ""Bessie @ CPoWyK5p8J"" (731) | #5 ""Shawn @ nIjE5tklyI"" (2481)",2022-08-17T06:15:32.679Z,166071693267901
"-- starting hand #440  (No Limit Texas Hold'em) (dealer: ""Bessie @ CPoWyK5p8J"") --",2022-08-17T06:15:32.679Z,166071693267900
