entry,at,order
"-- ending hand #471 --",2022-08-18T07:19:45.501Z,166080718550103
"""sean @ nIjE5tklyI"" shows a 2♦, Q♦.",2022-08-18T07:19:45.501Z,166080718550102
"""TheTobacconist @ 7v3PNAqltW"" collected 4 from pot with Pair, 3's (combination: 3♣, 3♠, A♣, K♦, 10♠)",2022-08-18T07:19:45.501Z,166080718550101
"""TheTobacconist @ 7v3PNAqltW"" shows a K♦, 5♠.",2022-08-18T07:19:45.501Z,166080718550100
"""TheTobacconist @ 7v3PNAqltW"" checks",2022-08-18T07:19:44.616Z,166080718461600
"The admin ""sean @ nIjE5tklyI"" enqueued the game stop on next hand.",2022-08-18T07:19:44.135Z,166080718413500
"""sean @ nIjE5tklyI"" checks",2022-08-18T07:19:40.256Z,166080718025600
"River: A♣, 3♣, 4♦, 10♠ [3♠]",2022-08-18T07:19:37.098Z,166080717709800
"""TheTobacconist @ 7v3PNAqltW"" checks",2022-08-18T07:19:36.237Z,166080717623700
"""sean @ nIjE5tklyI"" checks",2022-08-18T07:19:32.453Z,166080717245300
"Turn: A♣, 3♣, 4♦ [10♠]",2022-08-18T07:19:28.692Z,166080716869200
"""TheTobacconist @ 7v3PNAqltW"" checks",2022-08-18T07:19:27.788Z,166080716778800
"""sean @ nIjE5tklyI"" checks",2022-08-18T07:19:18.435Z,166080715843500
"Flop:  [A♣, 3♣, 4♦]",2022-08-18T07:19:15.683Z,166080715568300
"""sean @ nIjE5tklyI"" checks",2022-08-18T07:19:14.832Z,166080715483200
"""TheTobacconist @ 7v3PNAqltW"" calls 2",2022-08-18T07:19:06.566Z,166080714656600
"""sean @ nIjE5tklyI"" posts a big blind of 2",2022-08-18T07:18:57.443Z,166080713744305
"""TheTobacconist @ 7v3PNAqltW"" posts a small blind of 1",2022-08-18T07:18:57.443Z,166080713744304
"Player stacks: #1 ""sean @ nIjE5tklyI"" (2546) | #5 ""TheTobacconist @ 7v3PNAqltW"" (744)",2022-08-18T07:18:57.443Z,166080713744301
"-- starting hand #471  (No Limit Texas Hold'em) (dealer: ""TheTobacconist @ 7v3PNAqltW"") --",2022-08-18T07:18:57.443Z,166080713744300
"""sean @ nIjE5tklyI"" shows a K♥, K♠.",2022-08-18T07:18:53.797Z,166080713379700
"-- ending hand #470 --",2022-08-18T07:18:50.914Z,166080713091402
"""TheTobacconist @ 7v3PNAqltW"" collected 124 from pot with Straight, A High (combination: A♥, K♦, Q♥, J♦, 10♦)",2022-08-18T07:18:50.914Z,166080713091401
"""TheTobacconist @ 7v3PNAqltW"" shows a Q♥, 10♦.",2022-08-18T07:18:50.914Z,166080713091400
"""sean @ nIjE5tklyI"" calls 40",2022-08-18T07:18:50.084Z,166080713008400
"""TheTobacconist @ 7v3PNAqltW"" bets 40",2022-08-18T07:18:47.133Z,166080712713300
"River: J♦, A♥, 9♦, K♦ [6♣]",2022-08-18T07:18:39.233Z,166080711923300
"""TheTobacconist @ 7v3PNAqltW"" calls 15",2022-08-18T07:18:38.386Z,166080711838600
"""sean @ nIjE5tklyI"" raises to 15",2022-08-18T07:18:31.767Z,166080711176700
"""TheTobacconist @ 7v3PNAqltW"" bets 2",2022-08-18T07:18:26.417Z,166080710641700
"Turn: J♦, A♥, 9♦ [K♦]",2022-08-18T07:18:16.007Z,166080709600700
"""sean @ nIjE5tklyI"" calls 2",2022-08-18T07:18:15.160Z,166080709516000
"""TheTobacconist @ 7v3PNAqltW"" bets 2",2022-08-18T07:18:07.787Z,166080708778700
"Flop:  [J♦, A♥, 9♦]",2022-08-18T07:18:04.874Z,166080708487400
"""TheTobacconist @ 7v3PNAqltW"" calls 5",2022-08-18T07:18:03.985Z,166080708398500
"""sean @ nIjE5tklyI"" raises to 5",2022-08-18T07:18:01.925Z,166080708192500
"""TheTobacconist @ 7v3PNAqltW"" posts a big blind of 2",2022-08-18T07:17:55.258Z,166080707525806
"""sean @ nIjE5tklyI"" posts a small blind of 1",2022-08-18T07:17:55.258Z,166080707525805
"Player stacks: #1 ""sean @ nIjE5tklyI"" (2608) | #5 ""TheTobacconist @ 7v3PNAqltW"" (682)",2022-08-18T07:17:55.258Z,166080707525802
"-- starting hand #470  (No Limit Texas Hold'em) (dealer: ""sean @ nIjE5tklyI"") --",2022-08-18T07:17:55.258Z,166080707525801
"The player ""Magic Mitch @ saMFGZTVZk"" quits the game with a stack of 0.",2022-08-18T07:17:55.258Z,166080707525800
"-- ending hand #469 --",2022-08-18T07:17:49.248Z,166080706924801
"""TheTobacconist @ 7v3PNAqltW"" collected 679 from pot with Three of a Kind, A's (combination: A♣, A♠, A♥, Q♠, 9♥)",2022-08-18T07:17:49.248Z,166080706924800
"River: 5♦, 9♥, 4♣, Q♠ [A♥]",2022-08-18T07:17:45.244Z,166080706524400
"""Magic Mitch @ saMFGZTVZk"" shows a 5♣, 4♠.",2022-08-18T07:17:41.173Z,166080706117301
"""TheTobacconist @ 7v3PNAqltW"" shows a A♣, A♠.",2022-08-18T07:17:41.173Z,166080706117300
"Some players choose to not run it twice.",2022-08-18T07:17:40.300Z,166080706030001
"""Magic Mitch @ saMFGZTVZk"" chooses to not run it twice.",2022-08-18T07:17:40.300Z,166080706030000
"Remaining players decide whether to run it twice.",2022-08-18T07:17:38.318Z,166080705831801
"""Magic Mitch @ saMFGZTVZk"" calls 301 and go all in",2022-08-18T07:17:38.318Z,166080705831800
"""TheTobacconist @ 7v3PNAqltW"" bets 301",2022-08-18T07:16:57.786Z,166080701778600
"Turn: 5♦, 9♥, 4♣ [Q♠]",2022-08-18T07:16:47.411Z,166080700741100
"""sean @ nIjE5tklyI"" folds",2022-08-18T07:16:46.578Z,166080700657800
"""Magic Mitch @ saMFGZTVZk"" calls 25",2022-08-18T07:16:41.776Z,166080700177600
