entry,at,order
"The player ""Bijo @ Of7lgJk1hJ"" stand up with the stack of 1110.",2022-08-16T08:20:45.208Z,166063804520800
"The player ""Ayo @ L2BVXEOQg7"" quits the game with a stack of 0.",2022-08-16T08:20:21.092Z,166063802109200
"-- ending hand #394 --",2022-08-16T08:20:13.083Z,166063801308302
"""Bijo @ Of7lgJk1hJ"" collected 149 from pot with Full House on the second run  (combination: 10♠, 10♣, 10♦, 2♥, 2♦)",2022-08-16T08:20:13.083Z,166063801308301
"""Bijo @ Of7lgJk1hJ"" collected 149 from pot with Three of a Kind (combination: 2♥, 2♣, 2♦, J♠, 10♣)",2022-08-16T08:20:13.083Z,166063801308300
"River (second run): 2♦, 4♥, 10♣, 10♦ [J♦]",2022-08-16T08:20:09.080Z,166063800908000
"Turn (second run): 2♦, 4♥, 10♣ [10♦]",2022-08-16T08:20:05.077Z,166063800507700
"River: 2♦, 4♥, 10♣, J♠ [3♥]",2022-08-16T08:20:01.074Z,166063800107400
"Turn: 2♦, 4♥, 10♣ [J♠]",2022-08-16T08:19:57.022Z,166063799702200
"""Bijo @ Of7lgJk1hJ"" shows a 2♥, 2♣, 10♠, 8♣.",2022-08-16T08:19:53.015Z,166063799301501
"""Ayo @ L2BVXEOQg7"" shows a 10♥, 3♣, 5♠, Q♥.",2022-08-16T08:19:53.015Z,166063799301500
"""Ayo @ L2BVXEOQg7"" shows a 10♥, 3♣, 5♠, Q♥.",2022-08-16T08:19:52.902Z,166063799290200
"All players in hand choose to run it twice.",2022-08-16T08:19:52.153Z,166063799215301
"""Bijo @ Of7lgJk1hJ"" chooses to  run it twice.",2022-08-16T08:19:52.153Z,166063799215300
"""Ayo @ L2BVXEOQg7"" chooses to  run it twice.",2022-08-16T08:19:51.538Z,166063799153800
"Remaining players decide whether to run it twice.",2022-08-16T08:19:50.600Z,166063799060001
"""Ayo @ L2BVXEOQg7"" calls 146 and go all in",2022-08-16T08:19:50.600Z,166063799060000
"""Bijo @ Of7lgJk1hJ"" raises to 146",2022-08-16T08:19:48.230Z,166063798823000
"""Ayo @ L2BVXEOQg7"" raises to 78",2022-08-16T08:19:36.964Z,166063797696400
"""Bijo @ Of7lgJk1hJ"" raises to 24",2022-08-16T08:19:34.445Z,166063797444500
"""Ayo @ L2BVXEOQg7"" bets 6",2022-08-16T08:19:26.636Z,166063796663600
"Flop:  [2♦, 4♥, 10♣]",2022-08-16T08:19:22.679Z,166063796267900
"""Bijo @ Of7lgJk1hJ"" calls 3",2022-08-16T08:19:21.856Z,166063796185600
"""Ayo @ L2BVXEOQg7"" raises to 3",2022-08-16T08:19:20.856Z,166063796085600
"""Bijo @ Of7lgJk1hJ"" checks",2022-08-16T08:19:17.569Z,166063795756900
"""Ayo @ L2BVXEOQg7"" posts a big blind of 1",2022-08-16T08:19:11.186Z,166063795118605
"""Bijo @ Of7lgJk1hJ"" posts a small blind of 1",2022-08-16T08:19:11.186Z,166063795118604
"Player stacks: #4 ""Ayo @ L2BVXEOQg7"" (149) | #6 ""Bijo @ Of7lgJk1hJ"" (961)",2022-08-16T08:19:11.186Z,166063795118601
"-- starting hand #394  (Pot Limit Omaha Hi) (dealer: ""Bijo @ Of7lgJk1hJ"") --",2022-08-16T08:19:11.186Z,166063795118600
"-- ending hand #393 --",2022-08-16T08:19:08.186Z,166063794818602
"""Ayo @ L2BVXEOQg7"" collected 6 from pot",2022-08-16T08:19:08.186Z,166063794818601
"Uncalled bet of 6 returned to ""Ayo @ L2BVXEOQg7""",2022-08-16T08:19:08.186Z,166063794818600
"""Bijo @ Of7lgJk1hJ"" folds",2022-08-16T08:19:07.297Z,166063794729700
"""Ayo @ L2BVXEOQg7"" bets 6",2022-08-16T08:18:55.385Z,166063793538500
"""Bijo @ Of7lgJk1hJ"" checks",2022-08-16T08:18:52.851Z,166063793285100
"River: 4♦, 8♦, Q♠, 5♣ [2♦]",2022-08-16T08:18:48.974Z,166063792897400
"""Ayo @ L2BVXEOQg7"" checks",2022-08-16T08:18:48.119Z,166063792811900
"""Bijo @ Of7lgJk1hJ"" checks",2022-08-16T08:18:46.947Z,166063792694700
"Turn: 4♦, 8♦, Q♠ [5♣]",2022-08-16T08:18:45.170Z,166063792517000
"""Ayo @ L2BVXEOQg7"" checks",2022-08-16T08:18:44.342Z,166063792434200
"""Bijo @ Of7lgJk1hJ"" checks",2022-08-16T08:18:43.385Z,166063792338500
"Flop:  [4♦, 8♦, Q♠]",2022-08-16T08:18:37.960Z,166063791796000
"""Ayo @ L2BVXEOQg7"" calls 3",2022-08-16T08:18:37.141Z,166063791714100
"""Bijo @ Of7lgJk1hJ"" raises to 3",2022-08-16T08:18:35.696Z,166063791569600
"""Ayo @ L2BVXEOQg7"" checks",2022-08-16T08:18:31.073Z,166063791107300
"""Bijo @ Of7lgJk1hJ"" posts a big blind of 1",2022-08-16T08:18:26.146Z,166063790614605
"""Ayo @ L2BVXEOQg7"" posts a small blind of 1",2022-08-16T08:18:26.146Z,166063790614604
"Player stacks: #4 ""Ayo @ L2BVXEOQg7"" (146) | #6 ""Bijo @ Of7lgJk1hJ"" (964)",2022-08-16T08:18:26.146Z,166063790614601
"-- starting hand #393  (Pot Limit Omaha Hi) (dealer: ""Ayo @ L2BVXEOQg7"") --",2022-08-16T08:18:26.146Z,166063790614600
"""Ayo @ L2BVXEOQg7"" shows a K♦, Q♦, 2♣, J♠.",2022-08-16T08:18:24.066Z,166063790406600
"-- ending hand #392 --",2022-08-16T08:18:19.541Z,166063789954102
"""Bijo @ Of7lgJk1hJ"" collected 486 from pot with Full House (combination: A♠, A♦, A♥, 10♠, 10♦)",2022-08-16T08:18:19.541Z,166063789954101
"""Bijo @ Of7lgJk1hJ"" shows a 4♦, K♥, A♠, 10♠.",2022-08-16T08:18:19.541Z,166063789954100
"""Ayo @ L2BVXEOQg7"" calls 162",2022-08-16T08:18:18.687Z,166063789868700
"""Bijo @ Of7lgJk1hJ"" bets 162",2022-08-16T08:18:16.959Z,166063789695900
"""Ayo @ L2BVXEOQg7"" checks",2022-08-16T08:18:12.885Z,166063789288500
"River: 5♦, A♦, A♥, 10♦ [5♣]",2022-08-16T08:18:10.930Z,166063789093000
"""Ayo @ L2BVXEOQg7"" calls 54",2022-08-16T08:18:10.061Z,166063789006100
"""Bijo @ Of7lgJk1hJ"" bets 54",2022-08-16T08:18:08.677Z,166063788867700
"""Ayo @ L2BVXEOQg7"" checks",2022-08-16T08:18:02.763Z,166063788276300
"Turn: 5♦, A♦, A♥ [10♦]",2022-08-16T08:18:00.918Z,166063788091800
"""Ayo @ L2BVXEOQg7"" calls 18",2022-08-16T08:18:00.016Z,166063788001600
"""Bijo @ Of7lgJk1hJ"" bets 18",2022-08-16T08:17:58.387Z,166063787838700
"""Ayo @ L2BVXEOQg7"" checks",2022-08-16T08:17:51.252Z,166063787125200
"Flop:  [5♦, A♦, A♥]",2022-08-16T08:17:48.801Z,166063786880100
"""Bijo @ Of7lgJk1hJ"" calls 9",2022-08-16T08:17:47.989Z,166063786798900
"""Ayo @ L2BVXEOQg7"" raises to 9",2022-08-16T08:17:45.674Z,166063786567400
"""Bijo @ Of7lgJk1hJ"" raises to 3",2022-08-16T08:17:41.913Z,166063786191300
"""Ayo @ L2BVXEOQg7"" posts a big blind of 1",2022-08-16T08:17:34.890Z,166063785489005
"""Bijo @ Of7lgJk1hJ"" posts a small blind of 1",2022-08-16T08:17:34.890Z,166063785489004
"Player stacks: #4 ""Ayo @ L2BVXEOQg7"" (389) | #6 ""Bijo @ Of7lgJk1hJ"" (721)",2022-08-16T08:17:34.890Z,166063785489001
"-- starting hand #392  (Pot Limit Omaha Hi) (dealer: ""Bijo @ Of7lgJk1hJ"") --",2022-08-16T08:17:34.890Z,166063785489000
"-- ending hand #391 --",2022-08-16T08:17:28.887Z,166063784888702
"""Bijo @ Of7lgJk1hJ"" collected 18 from pot with Two Pair (combination: A♥, A♦, 3♠, 3♣, J♠)",2022-08-16T08:17:28.887Z,166063784888701
"""Bijo @ Of7lgJk1hJ"" shows a 3♠, 8♥, 3♣, 2♣.",2022-08-16T08:17:28.887Z,166063784888700
"""Ayo @ L2BVXEOQg7"" checks",2022-08-16T08:17:27.990Z,166063784799000
"""Bijo @ Of7lgJk1hJ"" checks",2022-08-16T08:17:26.997Z,166063784699700
"River: J♠, A♥, A♦, 9♣ [7♥]",2022-08-16T08:17:18.278Z,166063783827800
"""Ayo @ L2BVXEOQg7"" checks",2022-08-16T08:17:17.458Z,166063783745800
"""Bijo @ Of7lgJk1hJ"" checks",2022-08-16T08:17:16.548Z,166063783654800
"Turn: J♠, A♥, A♦ [9♣]",2022-08-16T08:17:11.959Z,166063783195900
"""Ayo @ L2BVXEOQg7"" calls 6",2022-08-16T08:17:11.146Z,166063783114600
"""Bijo @ Of7lgJk1hJ"" bets 6",2022-08-16T08:17:09.075Z,166063782907500
"Flop:  [J♠, A♥, A♦]",2022-08-16T08:17:00.695Z,166063782069500
"""Bijo @ Of7lgJk1hJ"" calls 3",2022-08-16T08:16:59.876Z,166063781987600
"""Ayo @ L2BVXEOQg7"" raises to 3",2022-08-16T08:16:57.012Z,166063781701200
"""Bijo @ Of7lgJk1hJ"" posts a big blind of 1",2022-08-16T08:16:51.843Z,166063781184305
"""Ayo @ L2BVXEOQg7"" posts a small blind of 1",2022-08-16T08:16:51.843Z,166063781184304
"Player stacks: #4 ""Ayo @ L2BVXEOQg7"" (398) | #6 ""Bijo @ Of7lgJk1hJ"" (712)",2022-08-16T08:16:51.843Z,166063781184301
"-- starting hand #391  (Pot Limit Omaha Hi) (dealer: ""Ayo @ L2BVXEOQg7"") --",2022-08-16T08:16:51.843Z,166063781184300
"-- ending hand #390 --",2022-08-16T08:16:45.840Z,166063780584002
"""Bijo @ Of7lgJk1hJ"" collected 6 from pot",2022-08-16T08:16:45.840Z,166063780584001
"Uncalled bet of 1 returned to ""Bijo @ Of7lgJk1hJ""",2022-08-16T08:16:45.840Z,166063780584000
"""Ayo @ L2BVXEOQg7"" folds",2022-08-16T08:16:44.942Z,166063780494200
"""Bijo @ Of7lgJk1hJ"" bets 1",2022-08-16T08:16:43.917Z,166063780391700
"""Ayo @ L2BVXEOQg7"" checks",2022-08-16T08:16:39.778Z,166063779977800
"Flop:  [6♠, 8♥, 5♥]",2022-08-16T08:16:37.832Z,166063779783200
"""Ayo @ L2BVXEOQg7"" calls 3",2022-08-16T08:16:37.008Z,166063779700800
"""Bijo @ Of7lgJk1hJ"" raises to 3",2022-08-16T08:16:35.653Z,166063779565300
"""Ayo @ L2BVXEOQg7"" posts a big blind of 1",2022-08-16T08:16:28.064Z,166063778806405
"""Bijo @ Of7lgJk1hJ"" posts a small blind of 1",2022-08-16T08:16:28.064Z,166063778806404
"Player stacks: #4 ""Ayo @ L2BVXEOQg7"" (401) | #6 ""Bijo @ Of7lgJk1hJ"" (709)",2022-08-16T08:16:28.064Z,166063778806401
"-- starting hand #390  (Pot Limit Omaha Hi) (dealer: ""Bijo @ Of7lgJk1hJ"") --",2022-08-16T08:16:28.064Z,166063778806400
"-- ending hand #389 --",2022-08-16T08:16:22.053Z,166063778205302
"""Bijo @ Of7lgJk1hJ"" collected 18 from pot with Two Pair (combination: Q♥, Q♠, 8♣, 8♠, 10♠)",2022-08-16T08:16:22.053Z,166063778205301
"""Bijo @ Of7lgJk1hJ"" shows a 7♠, 8♣, 4♥, 8♠.",2022-08-16T08:16:22.053Z,166063778205300
"""Ayo @ L2BVXEOQg7"" checks",2022-08-16T08:16:21.228Z,166063778122800
"""Bijo @ Of7lgJk1hJ"" checks",2022-08-16T08:16:20.256Z,166063778025600
