entry,at,order
"The player ""Bijo @ Q85mcQV0dH"" stand up with the stack of 711.",2022-08-17T07:23:17.847Z,166072099784700
"The player ""Ayo @ QRvrL14Xbw"" quits the game with a stack of 0.",2022-08-17T07:23:12.346Z,166072099234600
"-- ending hand #321 --",2022-08-17T07:23:04.336Z,166072098433602
"""Bijo @ Q85mcQV0dH"" collected 245 from pot with Three of a Kind on the second run  (combination: Q♣, Q♠, Q♥, K♠, 9♠)",2022-08-17T07:23:04.336Z,166072098433601
"""Bijo @ Q85mcQV0dH"" collected 245 from pot with Three of a Kind (combination: Q♣, Q♠, Q♥, 9♠, 7♣)",2022-08-17T07:23:04.336Z,166072098433600
"River (second run): 2♥, 9♠, Q♥, 6♦ [K♠]",2022-08-17T07:23:00.268Z,166072098026800
"River: 2♥, 9♠, Q♥, 6♦ [7♣]",2022-08-17T07:22:56.265Z,166072097626500
"""Bijo @ Q85mcQV0dH"" shows a K♣, Q♣, J♦, Q♠.",2022-08-17T07:22:52.179Z,166072097217901
"""Ayo @ QRvrL14Xbw"" shows a Q♦, 2♣, K♦, 3♦.",2022-08-17T07:22:52.179Z,166072097217900
"""Ayo @ QRvrL14Xbw"" shows a Q♦, 2♣, K♦, 3♦.",2022-08-17T07:22:51.933Z,166072097193300
"All players in hand choose to run it twice.",2022-08-17T07:22:51.374Z,166072097137401
"""Ayo @ QRvrL14Xbw"" chooses to  run it twice.",2022-08-17T07:22:51.374Z,166072097137400
"""Bijo @ Q85mcQV0dH"" chooses to  run it twice.",2022-08-17T07:22:50.720Z,166072097072000
"Remaining players decide whether to run it twice.",2022-08-17T07:22:50.686Z,166072097068601
"""Ayo @ QRvrL14Xbw"" calls 227 and go all in",2022-08-17T07:22:50.686Z,166072097068600
"""Bijo @ Q85mcQV0dH"" raises to 227",2022-08-17T07:22:49.082Z,166072096908200
"""Ayo @ QRvrL14Xbw"" raises to 144",2022-08-17T07:22:43.197Z,166072096319700
"""Bijo @ Q85mcQV0dH"" bets 36",2022-08-17T07:22:40.507Z,166072096050700
"Turn: 2♥, 9♠, Q♥ [6♦]",2022-08-17T07:22:35.249Z,166072095524900
"""Ayo @ QRvrL14Xbw"" calls 9",2022-08-17T07:22:34.392Z,166072095439200
"""Bijo @ Q85mcQV0dH"" bets 9",2022-08-17T07:22:32.361Z,166072095236100
"Flop:  [2♥, 9♠, Q♥]",2022-08-17T07:22:23.703Z,166072094370300
"""Ayo @ QRvrL14Xbw"" calls 9",2022-08-17T07:22:22.895Z,166072094289500
"""Bijo @ Q85mcQV0dH"" raises to 9",2022-08-17T07:22:21.138Z,166072094113800
"""Ayo @ QRvrL14Xbw"" raises to 3",2022-08-17T07:22:16.294Z,166072093629400
"""Bijo @ Q85mcQV0dH"" posts a big blind of 1",2022-08-17T07:22:13.000Z,166072093300005
"""Ayo @ QRvrL14Xbw"" posts a small blind of 1",2022-08-17T07:22:13.000Z,166072093300004
"Player stacks: #2 ""Ayo @ QRvrL14Xbw"" (245) | #9 ""Bijo @ Q85mcQV0dH"" (466)",2022-08-17T07:22:13.000Z,166072093300001
"-- starting hand #321  (Pot Limit Omaha Hi) (dealer: ""Ayo @ QRvrL14Xbw"") --",2022-08-17T07:22:13.000Z,166072093300000
"-- ending hand #320 --",2022-08-17T07:22:07.074Z,166072092707402
"""Bijo @ Q85mcQV0dH"" collected 12 from pot",2022-08-17T07:22:07.074Z,166072092707401
"Uncalled bet of 12 returned to ""Bijo @ Q85mcQV0dH""",2022-08-17T07:22:07.074Z,166072092707400
"""Ayo @ QRvrL14Xbw"" folds",2022-08-17T07:22:06.225Z,166072092622500
"""Bijo @ Q85mcQV0dH"" bets 12",2022-08-17T07:22:02.157Z,166072092215700
"""Ayo @ QRvrL14Xbw"" checks",2022-08-17T07:21:58.024Z,166072091802400
"Turn: 8♠, 2♠, 2♥ [10♦]",2022-08-17T07:21:55.990Z,166072091599000
"""Ayo @ QRvrL14Xbw"" calls 3",2022-08-17T07:21:55.142Z,166072091514200
"""Bijo @ Q85mcQV0dH"" bets 3",2022-08-17T07:21:53.780Z,166072091378000
"""Ayo @ QRvrL14Xbw"" checks",2022-08-17T07:21:48.555Z,166072090855500
"Flop:  [8♠, 2♠, 2♥]",2022-08-17T07:21:45.912Z,166072090591200
"""Bijo @ Q85mcQV0dH"" calls 3",2022-08-17T07:21:45.056Z,166072090505600
"""Ayo @ QRvrL14Xbw"" raises to 3",2022-08-17T07:21:42.440Z,166072090244000
"""Bijo @ Q85mcQV0dH"" checks",2022-08-17T07:21:39.778Z,166072089977800
"""Ayo @ QRvrL14Xbw"" posts a big blind of 1",2022-08-17T07:21:36.906Z,166072089690605
"""Bijo @ Q85mcQV0dH"" posts a small blind of 1",2022-08-17T07:21:36.906Z,166072089690604
"Player stacks: #2 ""Ayo @ QRvrL14Xbw"" (251) | #9 ""Bijo @ Q85mcQV0dH"" (460)",2022-08-17T07:21:36.906Z,166072089690601
"-- starting hand #320  (Pot Limit Omaha Hi) (dealer: ""Bijo @ Q85mcQV0dH"") --",2022-08-17T07:21:36.906Z,166072089690600
"-- ending hand #319 --",2022-08-17T07:21:33.976Z,166072089397602
"""Bijo @ Q85mcQV0dH"" collected 6 from pot",2022-08-17T07:21:33.976Z,166072089397601
"Uncalled bet of 6 returned to ""Bijo @ Q85mcQV0dH""",2022-08-17T07:21:33.976Z,166072089397600
"""Ayo @ QRvrL14Xbw"" folds",2022-08-17T07:21:33.143Z,166072089314300
"""Bijo @ Q85mcQV0dH"" bets 6",2022-08-17T07:21:32.048Z,166072089204800
"River: 8♦, 4♠, Q♠, 7♠ [10♦]",2022-08-17T07:21:27.631Z,166072088763100
"""Ayo @ QRvrL14Xbw"" checks",2022-08-17T07:21:26.793Z,166072088679300
"""Bijo @ Q85mcQV0dH"" checks",2022-08-17T07:21:25.680Z,166072088568000
"Turn: 8♦, 4♠, Q♠ [7♠]",2022-08-17T07:21:22.831Z,166072088283100
"""Ayo @ QRvrL14Xbw"" checks",2022-08-17T07:21:22.023Z,166072088202300
"""Bijo @ Q85mcQV0dH"" checks",2022-08-17T07:21:20.466Z,166072088046600
"Flop:  [8♦, 4♠, Q♠]",2022-08-17T07:21:17.828Z,166072087782800
"""Bijo @ Q85mcQV0dH"" calls 3",2022-08-17T07:21:16.993Z,166072087699300
"""Ayo @ QRvrL14Xbw"" raises to 3",2022-08-17T07:21:14.321Z,166072087432100
"""Bijo @ Q85mcQV0dH"" posts a big blind of 1",2022-08-17T07:21:11.360Z,166072087136005
"""Ayo @ QRvrL14Xbw"" posts a small blind of 1",2022-08-17T07:21:11.360Z,166072087136004
"Player stacks: #2 ""Ayo @ QRvrL14Xbw"" (254) | #9 ""Bijo @ Q85mcQV0dH"" (457)",2022-08-17T07:21:11.360Z,166072087136001
