entry,at,order
"The player ""Hans @ fVKCULQE4T"" stand up with the stack of 540.",2022-08-19T06:40:56.424Z,166089125642400
"-- ending hand #343 --",2022-08-19T06:40:50.431Z,166089125043102
"""Fluffy @ kHdDX9dnsk"" collected 4 from pot",2022-08-19T06:40:50.431Z,166089125043101
"Uncalled bet of 6 returned to ""Fluffy @ kHdDX9dnsk""",2022-08-19T06:40:50.431Z,166089125043100
"""Hans @ fVKCULQE4T"" folds",2022-08-19T06:40:49.592Z,166089124959200
"""Fluffy @ kHdDX9dnsk"" raises to 8",2022-08-19T06:40:46.125Z,166089124612500
"""Hans @ fVKCULQE4T"" posts a big blind of 2",2022-08-19T06:40:35.006Z,166089123500605
"""Fluffy @ kHdDX9dnsk"" posts a small blind of 1",2022-08-19T06:40:35.006Z,166089123500604
"Player stacks: #4 ""Hans @ fVKCULQE4T"" (542) | #8 ""Fluffy @ kHdDX9dnsk"" (669)",2022-08-19T06:40:35.006Z,166089123500601
"-- starting hand #343  (No Limit Texas Hold'em) (dealer: ""Fluffy @ kHdDX9dnsk"") --",2022-08-19T06:40:35.006Z,166089123500600
"-- ending hand #342 --",2022-08-19T06:40:32.011Z,166089123201102
"""Hans @ fVKCULQE4T"" collected 8 from pot",2022-08-19T06:40:32.011Z,166089123201101
"Uncalled bet of 6 returned to ""Hans @ fVKCULQE4T""",2022-08-19T06:40:32.011Z,166089123201100
"""Fluffy @ kHdDX9dnsk"" folds",2022-08-19T06:40:31.195Z,166089123119500
"""Hans @ fVKCULQE4T"" bets 6",2022-08-19T06:40:26.188Z,166089122618800
"""Fluffy @ kHdDX9dnsk"" checks",2022-08-19T06:40:23.154Z,166089122315400
"Turn: 9♣, J♣, 3♠ [Q♠]",2022-08-19T06:40:13.900Z,166089121390000
"""Fluffy @ kHdDX9dnsk"" calls 2",2022-08-19T06:40:12.986Z,166089121298600
"""Hans @ fVKCULQE4T"" bets 2",2022-08-19T06:40:01.812Z,166089120181200
"""Fluffy @ kHdDX9dnsk"" checks",2022-08-19T06:39:54.546Z,166089119454600
"Flop:  [9♣, J♣, 3♠]",2022-08-19T06:39:51.276Z,166089119127600
"""Fluffy @ kHdDX9dnsk"" checks",2022-08-19T06:39:50.386Z,166089119038600
"""Hans @ fVKCULQE4T"" calls 2",2022-08-19T06:39:48.340Z,166089118834000
"""Fluffy @ kHdDX9dnsk"" posts a big blind of 2",2022-08-19T06:39:41.274Z,166089118127406
"""Hans @ fVKCULQE4T"" posts a small blind of 1",2022-08-19T06:39:41.274Z,166089118127405
"Player stacks: #4 ""Hans @ fVKCULQE4T"" (538) | #8 ""Fluffy @ kHdDX9dnsk"" (673)",2022-08-19T06:39:41.274Z,166089118127402
"-- starting hand #342  (No Limit Texas Hold'em) (dealer: ""Hans @ fVKCULQE4T"") --",2022-08-19T06:39:41.274Z,166089118127401
"The player ""KevinG @ xaYwvsl4ih"" quits the game with a stack of 0.",2022-08-19T06:39:41.274Z,166089118127400
"-- ending hand #341 --",2022-08-19T06:39:35.268Z,166089117526803
"""KevinG @ xaYwvsl4ih"" shows a K♠, A♦.",2022-08-19T06:39:35.268Z,166089117526802
"""Hans @ fVKCULQE4T"" collected 352 from pot with Three of a Kind, 6's (combination: 6♠, 6♣, 6♦, K♣, 10♣)",2022-08-19T06:39:35.268Z,166089117526801
"""Hans @ fVKCULQE4T"" shows a 6♠, 4♥.",2022-08-19T06:39:35.268Z,166089117526800
