entry,at,order
"The player ""AZ @ cq2i7Xm4Gf"" quits the game with a stack of 0.",2022-08-20T07:43:01.736Z,166098138173600
"-- ending hand #542 --",2022-08-20T07:42:55.732Z,166098137573203
"""AZ @ cq2i7Xm4Gf"" shows a K♥, 6♥.",2022-08-20T07:42:55.732Z,166098137573202
"""sean @ nIjE5tklyI"" collected 1394 from pot with Full House, 9's over 8's (combination: 9♦, 9♠, 9♥, 8♠, 8♦)",2022-08-20T07:42:55.732Z,166098137573201
"""sean @ nIjE5tklyI"" shows a 8♠, 9♦.",2022-08-20T07:42:55.732Z,166098137573200
"""AZ @ cq2i7Xm4Gf"" calls 677 and go all in",2022-08-20T07:42:54.867Z,166098137486700
"""sean @ nIjE5tklyI"" raises to 677",2022-08-20T07:42:49.226Z,166098136922600
"""AZ @ cq2i7Xm4Gf"" raises to 138",2022-08-20T07:42:42.451Z,166098136245100
"""sean @ nIjE5tklyI"" bets 69",2022-08-20T07:42:39.174Z,166098135917400
"River: 8♦, 4♥, 9♠, 9♥ [A♥]",2022-08-20T07:42:34.312Z,166098135431200
"""AZ @ cq2i7Xm4Gf"" calls 16",2022-08-20T07:42:33.445Z,166098135344500
"""sean @ nIjE5tklyI"" bets 16",2022-08-20T07:42:31.847Z,166098135184700
"Turn: 8♦, 4♥, 9♠ [9♥]",2022-08-20T07:42:28.108Z,166098134810800
"""AZ @ cq2i7Xm4Gf"" checks",2022-08-20T07:42:27.254Z,166098134725400
"""sean @ nIjE5tklyI"" checks",2022-08-20T07:42:26.360Z,166098134636000
"Flop:  [8♦, 4♥, 9♠]",2022-08-20T07:42:24.906Z,166098134490600
"""sean @ nIjE5tklyI"" calls 4",2022-08-20T07:42:24.008Z,166098134400800
"""AZ @ cq2i7Xm4Gf"" raises to 4",2022-08-20T07:42:22.297Z,166098134229700
"""sean @ nIjE5tklyI"" posts a big blind of 2",2022-08-20T07:42:19.502Z,166098133950205
"""AZ @ cq2i7Xm4Gf"" posts a small blind of 1",2022-08-20T07:42:19.502Z,166098133950204
"Player stacks: #2 ""AZ @ cq2i7Xm4Gf"" (697) | #3 ""sean @ nIjE5tklyI"" (1392)",2022-08-20T07:42:19.502Z,166098133950201
"-- starting hand #542  (No Limit Texas Hold'em) (dealer: ""AZ @ cq2i7Xm4Gf"") --",2022-08-20T07:42:19.502Z,166098133950200
"-- ending hand #541 --",2022-08-20T07:42:16.575Z,166098133657502
"""AZ @ cq2i7Xm4Gf"" collected 20 from pot",2022-08-20T07:42:16.575Z,166098133657501
"Uncalled bet of 20 returned to ""AZ @ cq2i7Xm4Gf""",2022-08-20T07:42:16.575Z,166098133657500
"""sean @ nIjE5tklyI"" folds",2022-08-20T07:42:15.755Z,166098133575500
"""AZ @ cq2i7Xm4Gf"" bets 20",2022-08-20T07:42:14.089Z,166098133408900
"Flop:  [K♣, 10♠, 8♥]",2022-08-20T07:42:09.891Z,166098132989100
"""sean @ nIjE5tklyI"" calls 10",2022-08-20T07:42:09.008Z,166098132900800
"""AZ @ cq2i7Xm4Gf"" raises to 10",2022-08-20T07:42:06.487Z,166098132648700
"""sean @ nIjE5tklyI"" raises to 6",2022-08-20T07:42:04.283Z,166098132428300
"""AZ @ cq2i7Xm4Gf"" posts a big blind of 2",2022-08-20T07:42:03.078Z,166098132307805
"""sean @ nIjE5tklyI"" posts a small blind of 1",2022-08-20T07:42:03.078Z,166098132307804
"Player stacks: #2 ""AZ @ cq2i7Xm4Gf"" (687) | #3 ""sean @ nIjE5tklyI"" (1402)",2022-08-20T07:42:03.078Z,166098132307801
"-- starting hand #541  (No Limit Texas Hold'em) (dealer: ""sean @ nIjE5tklyI"") --",2022-08-20T07:42:03.078Z,166098132307800
"-- ending hand #540 --",2022-08-20T07:41:57.074Z,166098131707402
"""AZ @ cq2i7Xm4Gf"" collected 4 from pot",2022-08-20T07:41:57.074Z,166098131707401
"Uncalled bet of 2 returned to ""AZ @ cq2i7Xm4Gf""",2022-08-20T07:41:57.074Z,166098131707400
"""sean @ nIjE5tklyI"" folds",2022-08-20T07:41:56.174Z,166098131617400
"""AZ @ cq2i7Xm4Gf"" raises to 4",2022-08-20T07:41:55.249Z,166098131524900
"""sean @ nIjE5tklyI"" posts a big blind of 2",2022-08-20T07:41:52.873Z,166098131287305
"""AZ @ cq2i7Xm4Gf"" posts a small blind of 1",2022-08-20T07:41:52.873Z,166098131287304
"Player stacks: #2 ""AZ @ cq2i7Xm4Gf"" (685) | #3 ""sean @ nIjE5tklyI"" (1404)",2022-08-20T07:41:52.873Z,166098131287301
"-- starting hand #540  (No Limit Texas Hold'em) (dealer: ""AZ @ cq2i7Xm4Gf"") --",2022-08-20T07:41:52.873Z,166098131287300
"-- ending hand #539 --",2022-08-20T07:41:46.873Z,166098130687302
"""AZ @ cq2i7Xm4Gf"" collected 12 from pot",2022-08-20T07:41:46.873Z,166098130687301
"Uncalled bet of 12 returned to ""AZ @ cq2i7Xm4Gf""",2022-08-20T07:41:46.873Z,166098130687300
"""sean @ nIjE5tklyI"" folds",2022-08-20T07:41:45.974Z,166098130597400
"""AZ @ cq2i7Xm4Gf"" raises to 18",2022-08-20T07:41:45.012Z,166098130501200
"""sean @ nIjE5tklyI"" raises to 6",2022-08-20T07:41:40.099Z,166098130009900
"""AZ @ cq2i7Xm4Gf"" posts a big blind of 2",2022-08-20T07:41:38.272Z,166098129827205
"""sean @ nIjE5tklyI"" posts a small blind of 1",2022-08-20T07:41:38.272Z,166098129827204
"Player stacks: #2 ""AZ @ cq2i7Xm4Gf"" (679) | #3 ""sean @ nIjE5tklyI"" (1410)",2022-08-20T07:41:38.272Z,166098129827201
"-- starting hand #539  (No Limit Texas Hold'em) (dealer: ""sean @ nIjE5tklyI"") --",2022-08-20T07:41:38.272Z,166098129827200
"-- ending hand #538 --",2022-08-20T07:41:35.331Z,166098129533102
"""sean @ nIjE5tklyI"" collected 20 from pot",2022-08-20T07:41:35.331Z,166098129533101
"Uncalled bet of 40 returned to ""sean @ nIjE5tklyI""",2022-08-20T07:41:35.331Z,166098129533100
"""AZ @ cq2i7Xm4Gf"" folds",2022-08-20T07:41:34.511Z,166098129451100
"""sean @ nIjE5tklyI"" bets 40",2022-08-20T07:41:31.336Z,166098129133600
"River: 3♦, 9♣, J♣, 6♠ [2♠]",2022-08-20T07:41:25.064Z,166098128506400
"""AZ @ cq2i7Xm4Gf"" calls 8",2022-08-20T07:41:24.240Z,166098128424000
"""sean @ nIjE5tklyI"" bets 8",2022-08-20T07:41:22.195Z,166098128219500
"Turn: 3♦, 9♣, J♣ [6♠]",2022-08-20T07:41:18.254Z,166098127825400
"""AZ @ cq2i7Xm4Gf"" checks",2022-08-20T07:41:17.421Z,166098127742100
"""sean @ nIjE5tklyI"" checks",2022-08-20T07:41:16.341Z,166098127634100
"Flop:  [3♦, 9♣, J♣]",2022-08-20T07:41:12.452Z,166098127245200
"""sean @ nIjE5tklyI"" checks",2022-08-20T07:41:11.551Z,166098127155100
"""AZ @ cq2i7Xm4Gf"" calls 2",2022-08-20T07:41:10.626Z,166098127062600
"""sean @ nIjE5tklyI"" posts a big blind of 2",2022-08-20T07:41:08.452Z,166098126845205
"""AZ @ cq2i7Xm4Gf"" posts a small blind of 1",2022-08-20T07:41:08.452Z,166098126845204
"Player stacks: #2 ""AZ @ cq2i7Xm4Gf"" (689) | #3 ""sean @ nIjE5tklyI"" (1400)",2022-08-20T07:41:08.452Z,166098126845201
"-- starting hand #538  (No Limit Texas Hold'em) (dealer: ""AZ @ cq2i7Xm4Gf"") --",2022-08-20T07:41:08.452Z,166098126845200
"-- ending hand #537 --",2022-08-20T07:41:02.448Z,166098126244803
"""AZ @ cq2i7Xm4Gf"" shows a A♥, 3♦.",2022-08-20T07:41:02.448Z,166098126244802
"""sean @ nIjE5tklyI"" collected 36 from pot with Pair, 7's (combination: 7♠, 7♦, J♦, 9♦, 8♥)",2022-08-20T07:41:02.448Z,166098126244801
"""sean @ nIjE5tklyI"" shows a 7♠, 7♦.",2022-08-20T07:41:02.448Z,166098126244800
"""sean @ nIjE5tklyI"" calls 12",2022-08-20T07:41:01.545Z,166098126154500
"""AZ @ cq2i7Xm4Gf"" bets 12",2022-08-20T07:40:59.879Z,166098125987900
"River: 8♥, 2♦, J♦, 9♦ [3♠]",2022-08-20T07:40:56.644Z,166098125664400
"""sean @ nIjE5tklyI"" checks",2022-08-20T07:40:55.721Z,166098125572100
"""AZ @ cq2i7Xm4Gf"" checks",2022-08-20T07:40:53.810Z,166098125381000
"Turn: 8♥, 2♦, J♦ [9♦]",2022-08-20T07:40:53.502Z,166098125350200
"""sean @ nIjE5tklyI"" checks",2022-08-20T07:40:52.655Z,166098125265500
"""AZ @ cq2i7Xm4Gf"" checks",2022-08-20T07:40:51.350Z,166098125135000
"Flop:  [8♥, 2♦, J♦]",2022-08-20T07:40:49.042Z,166098124904200
"""AZ @ cq2i7Xm4Gf"" calls 6",2022-08-20T07:40:48.184Z,166098124818400
"""sean @ nIjE5tklyI"" raises to 6",2022-08-20T07:40:46.335Z,166098124633500
"""AZ @ cq2i7Xm4Gf"" posts a big blind of 2",2022-08-20T07:40:45.037Z,166098124503705
"""sean @ nIjE5tklyI"" posts a small blind of 1",2022-08-20T07:40:45.037Z,166098124503704
"Player stacks: #2 ""AZ @ cq2i7Xm4Gf"" (707) | #3 ""sean @ nIjE5tklyI"" (1382)",2022-08-20T07:40:45.037Z,166098124503701
"-- starting hand #537  (No Limit Texas Hold'em) (dealer: ""sean @ nIjE5tklyI"") --",2022-08-20T07:40:45.037Z,166098124503700
"-- ending hand #536 --",2022-08-20T07:40:39.036Z,166098123903602
"""AZ @ cq2i7Xm4Gf"" collected 8 from pot",2022-08-20T07:40:39.036Z,166098123903601
"Uncalled bet of 699 returned to ""AZ @ cq2i7Xm4Gf""",2022-08-20T07:40:39.036Z,166098123903600
"""sean @ nIjE5tklyI"" folds",2022-08-20T07:40:38.192Z,166098123819200
"""AZ @ cq2i7Xm4Gf"" bets 699 and go all in",2022-08-20T07:40:37.171Z,166098123717100
"""sean @ nIjE5tklyI"" checks",2022-08-20T07:40:34.441Z,166098123444100
"Flop:  [8♣, A♣, 2♦]",2022-08-20T07:40:33.430Z,166098123343000
"""sean @ nIjE5tklyI"" calls 4",2022-08-20T07:40:32.490Z,166098123249000
"""AZ @ cq2i7Xm4Gf"" raises to 4",2022-08-20T07:40:31.072Z,166098123107200
"""sean @ nIjE5tklyI"" posts a big blind of 2",2022-08-20T07:40:27.482Z,166098122748205
"""AZ @ cq2i7Xm4Gf"" posts a small blind of 1",2022-08-20T07:40:27.482Z,166098122748204
"Player stacks: #2 ""AZ @ cq2i7Xm4Gf"" (703) | #3 ""sean @ nIjE5tklyI"" (1386)",2022-08-20T07:40:27.482Z,166098122748201
