entry,at,order
"The player ""Shane C @ 1oVGfSuLrX"" quits the game with a stack of 285.",2022-08-18T02:43:10.199Z,166079059019900
"The player ""Shane C @ 1oVGfSuLrX"" stand up with the stack of 285.",2022-08-18T02:41:30.329Z,166079049032901
"The player ""Josh @ CPoWyK5p8J"" stand up with the stack of 356.",2022-08-18T02:41:30.329Z,166079049032900
"-- ending hand #94 --",2022-08-18T02:41:27.395Z,166079048739502
"""sean @ nIjE5tklyI"" collected 31 from pot",2022-08-18T02:41:27.395Z,166079048739501
"Uncalled bet of 41 returned to ""sean @ nIjE5tklyI""",2022-08-18T02:41:27.395Z,166079048739500
"""Shane C @ 1oVGfSuLrX"" folds",2022-08-18T02:41:26.571Z,166079048657100
"""sean @ nIjE5tklyI"" bets 41",2022-08-18T02:41:23.330Z,166079048333000
"""Shane C @ 1oVGfSuLrX"" checks",2022-08-18T02:41:13.460Z,166079047346000
"River: Q♥, 7♣, 9♦, 2♦ [A♠]",2022-08-18T02:41:10.993Z,166079047099300
"""sean @ nIjE5tklyI"" checks",2022-08-18T02:41:10.168Z,166079047016800
"""Shane C @ 1oVGfSuLrX"" checks",2022-08-18T02:41:02.691Z,166079046269100
"Turn: Q♥, 7♣, 9♦ [2♦]",2022-08-18T02:40:59.107Z,166079045910700
"""Shane C @ 1oVGfSuLrX"" calls 8",2022-08-18T02:40:58.211Z,166079045821100
"""sean @ nIjE5tklyI"" bets 8",2022-08-18T02:40:54.917Z,166079045491700
"""Shane C @ 1oVGfSuLrX"" checks",2022-08-18T02:40:49.273Z,166079044927300
"Flop:  [Q♥, 7♣, 9♦]",2022-08-18T02:40:46.364Z,166079044636400
"""Shane C @ 1oVGfSuLrX"" calls 7",2022-08-18T02:40:45.538Z,166079044553800
"""Josh @ CPoWyK5p8J"" folds",2022-08-18T02:40:43.964Z,166079044396400
"""sean @ nIjE5tklyI"" raises to 7",2022-08-18T02:40:35.824Z,166079043582400
"""Shane C @ 1oVGfSuLrX"" posts a big blind of 2",2022-08-18T02:40:31.288Z,166079043128806
"""Josh @ CPoWyK5p8J"" posts a small blind of 1",2022-08-18T02:40:31.288Z,166079043128805
"Player stacks: #1 ""sean @ nIjE5tklyI"" (363) | #6 ""Josh @ CPoWyK5p8J"" (357) | #7 ""Shane C @ 1oVGfSuLrX"" (300)",2022-08-18T02:40:31.288Z,166079043128801
"-- starting hand #94  (No Limit Texas Hold'em) (dealer: ""sean @ nIjE5tklyI"") --",2022-08-18T02:40:31.288Z,166079043128800
"-- ending hand #93 --",2022-08-18T02:40:25.281Z,166079042528102
"""sean @ nIjE5tklyI"" collected 12 from pot",2022-08-18T02:40:25.281Z,166079042528101
