entry,at,order
"The player ""Bijo @ 5Jv76m9co0"" stand up with the stack of 2536.",2022-08-19T08:33:30.513Z,166089801051300
"-- ending hand #443 --",2022-08-19T08:33:24.511Z,166089800451102
"""KevinG @ xaYwvsl4ih"" collected 6 from pot",2022-08-19T08:33:24.511Z,166089800451101
"Uncalled bet of 6 returned to ""KevinG @ xaYwvsl4ih""",2022-08-19T08:33:24.511Z,166089800451100
"""Bijo @ 5Jv76m9co0"" folds",2022-08-19T08:33:23.561Z,166089800356100
"""KevinG @ xaYwvsl4ih"" bets 6",2022-08-19T08:33:16.535Z,166089799653500
"Flop:  [5♥, J♣, 7♠]",2022-08-19T08:33:12.148Z,166089799214800
"""Bijo @ 5Jv76m9co0"" calls 3",2022-08-19T08:33:11.294Z,166089799129400
"""KevinG @ xaYwvsl4ih"" raises to 3",2022-08-19T08:33:09.161Z,166089798916100
"""Bijo @ 5Jv76m9co0"" checks",2022-08-19T08:33:05.995Z,166089798599500
"""KevinG @ xaYwvsl4ih"" posts a big blind of 1",2022-08-19T08:33:02.285Z,166089798228505
"""Bijo @ 5Jv76m9co0"" posts a small blind of 1",2022-08-19T08:33:02.285Z,166089798228504
"Player stacks: #1 ""Bijo @ 5Jv76m9co0"" (2539) | #2 ""KevinG @ xaYwvsl4ih"" (204)",2022-08-19T08:33:02.285Z,166089798228501
"-- starting hand #443  (Pot Limit Omaha Hi) (dealer: ""Bijo @ 5Jv76m9co0"") --",2022-08-19T08:33:02.285Z,166089798228500
"-- ending hand #442 --",2022-08-19T08:32:56.265Z,166089797626503
"""KevinG @ xaYwvsl4ih"" shows a 3♥, 6♣, 10♣, 10♠.",2022-08-19T08:32:56.265Z,166089797626502
"""Bijo @ 5Jv76m9co0"" collected 18 from pot with Three of a Kind (combination: 5♦, 5♣, 5♠, K♥, 8♣)",2022-08-19T08:32:56.265Z,166089797626501
"""Bijo @ 5Jv76m9co0"" shows a 8♣, 5♦, 8♠, 4♣.",2022-08-19T08:32:56.265Z,166089797626500
"""KevinG @ xaYwvsl4ih"" checks",2022-08-19T08:32:55.365Z,166089797536500
"""Bijo @ 5Jv76m9co0"" checks",2022-08-19T08:32:54.272Z,166089797427200
"River: 9♣, 5♣, 5♠, K♥ [9♠]",2022-08-19T08:32:50.065Z,166089797006500
"""KevinG @ xaYwvsl4ih"" checks",2022-08-19T08:32:49.247Z,166089796924700
"""Bijo @ 5Jv76m9co0"" checks",2022-08-19T08:32:48.185Z,166089796818500
"Turn: 9♣, 5♣, 5♠ [K♥]",2022-08-19T08:32:44.923Z,166089796492300
"""Bijo @ 5Jv76m9co0"" calls 6",2022-08-19T08:32:44.100Z,166089796410000
"""KevinG @ xaYwvsl4ih"" bets 6",2022-08-19T08:32:41.454Z,166089796145400
"""Bijo @ 5Jv76m9co0"" checks",2022-08-19T08:32:38.568Z,166089795856800
"Flop:  [9♣, 5♣, 5♠]",2022-08-19T08:32:32.919Z,166089795291900
"""Bijo @ 5Jv76m9co0"" calls 3",2022-08-19T08:32:32.095Z,166089795209500
"""KevinG @ xaYwvsl4ih"" raises to 3",2022-08-19T08:32:30.147Z,166089795014700
"""Bijo @ 5Jv76m9co0"" posts a big blind of 1",2022-08-19T08:32:26.641Z,166089794664105
"""KevinG @ xaYwvsl4ih"" posts a small blind of 1",2022-08-19T08:32:26.641Z,166089794664104
"Player stacks: #1 ""Bijo @ 5Jv76m9co0"" (2530) | #2 ""KevinG @ xaYwvsl4ih"" (213)",2022-08-19T08:32:26.641Z,166089794664101
"-- starting hand #442  (Pot Limit Omaha Hi) (dealer: ""KevinG @ xaYwvsl4ih"") --",2022-08-19T08:32:26.641Z,166089794664100
"-- ending hand #441 --",2022-08-19T08:32:20.638Z,166089794063802
"""Bijo @ 5Jv76m9co0"" collected 6 from pot",2022-08-19T08:32:20.638Z,166089794063801
"Uncalled bet of 6 returned to ""Bijo @ 5Jv76m9co0""",2022-08-19T08:32:20.638Z,166089794063800
"""KevinG @ xaYwvsl4ih"" folds",2022-08-19T08:32:19.719Z,166089793971900
"""Bijo @ 5Jv76m9co0"" bets 6",2022-08-19T08:32:18.810Z,166089793881000
"""KevinG @ xaYwvsl4ih"" checks",2022-08-19T08:32:14.317Z,166089793431700
"Flop:  [10♣, K♣, 9♦]",2022-08-19T08:32:11.704Z,166089793170400
"""Bijo @ 5Jv76m9co0"" calls 3",2022-08-19T08:32:10.895Z,166089793089500
"""KevinG @ xaYwvsl4ih"" raises to 3",2022-08-19T08:32:09.309Z,166089792930900
"""Bijo @ 5Jv76m9co0"" checks",2022-08-19T08:32:05.273Z,166089792527300
"""KevinG @ xaYwvsl4ih"" posts a big blind of 1",2022-08-19T08:32:00.297Z,166089792029705
"""Bijo @ 5Jv76m9co0"" posts a small blind of 1",2022-08-19T08:32:00.297Z,166089792029704
"Player stacks: #1 ""Bijo @ 5Jv76m9co0"" (2527) | #2 ""KevinG @ xaYwvsl4ih"" (216)",2022-08-19T08:32:00.297Z,166089792029701
"-- starting hand #441  (Pot Limit Omaha Hi) (dealer: ""Bijo @ 5Jv76m9co0"") --",2022-08-19T08:32:00.297Z,166089792029700
"-- ending hand #440 --",2022-08-19T08:31:54.383Z,166089791438302
"""KevinG @ xaYwvsl4ih"" collected 2 from pot",2022-08-19T08:31:54.383Z,166089791438301
"Uncalled bet of 2 returned to ""KevinG @ xaYwvsl4ih""",2022-08-19T08:31:54.383Z,166089791438300
"""Bijo @ 5Jv76m9co0"" folds",2022-08-19T08:31:53.534Z,166089791353400
"""KevinG @ xaYwvsl4ih"" raises to 3",2022-08-19T08:31:51.429Z,166089791142900
"""Bijo @ 5Jv76m9co0"" posts a big blind of 1",2022-08-19T08:31:47.978Z,166089790797805
